SF|LF|MetaMap CUI|CSI|Ratio in CSI|UMLS CUI|UMLS SOURCE|ADAM|Ratio in ADAM|Dictionary
PEEP|Positive Pressure Ventilation;Positive-Pressure Ventilation;Positive-Pressure Ventilations;Ventilation, Positive-Pressure;Ventilations, Positive-Pressure|C0021778;C0032740|||C0032740|MSH|||
PEEP|Positive end expiratory pressure (observable entity)||||C0032740|SNOMEDCT|||
PEEP|peak end-expiratory pressure||||||||1
PEEP|positive and expiratory pressure||||||1|0.0161|
PEEP|positive end-expiratory pressure ventilation||||||1|0.0145|
PEG|1,2 Propanediol;1,2-Propanediol||||C0072225|MSH;NCI;NDFRT|||
PEG|1,2-Dihydroxypropane||||C0072225|NCI|||
PEG|Endoscopic gastrostomy;endoscopic gastrostomy;PEG (procedure);peg procedure;PEG - Percutaneous endoscopic gastrostomy;Percutaneous [endoscopic] gastrostomy [PEG];percutaneous endoscopic gastrostomy (PEG);Percutaneous endoscopic gastrostomy;percutaneous endoscopic gastrostomy;Percutaneous gastrostomy;percutaneous gastrostomy;Percutaneous transabdominal gastrostomy|C0176751|1|1|C0176751|CHV;ICD9CM;LNC;MTH;MTHICD9;MTHMST;SNOMEDCT|1|0.2255|1
PEG|Ethanol, 2,2'-(oxybis(2,1-ethanediyloxy)bis-||||C0032478|NCI|||
PEG|Glycol 400, Polyethylene;POLYETHYLENE GLYCOL 400;Polyethylene Glycol 400;polyethylene glycol 400;PEG-400;Peg 400;peg 400;PEO 400;PEO-400;POLYETHYLENE GLYCOL 400 [VA Product]|C0032478|||C0032478|CHV;MSH;MTH;MTHSPL;NCI;NDFRT;RXNORM;VANDF|1|0.0044|
PEG|Glycol, Polyethylene;Glycol, polyethylene;Glycols, Polyethylene;POLYETHYLENE GLYCOL;Polyethylene Glycol;Polyethylene Glycols;Polyethylene glycol;Polyethylene glycol, NOS;Polyethyleneglycol;glycol polyethylene;glycol, polyethylene;polyethylene glycol;polyethylene glycols;Oxide, Polyethylene;Oxides, Polyethylene;Polyethylene Oxide;Polyethylene Oxides;polyethylene oxide;Polyethyleneoxide;Polyethyleneoxides|C0032478;C0032483|||C0032478;C0032483|AOD;CHV;CSP;MSH;MTH;MTHSPL;NCI;NDFRT;PDQ;RXNORM;SNOMEDCT;VANDF|1|0.7265|1
PEG|Glycol, Propylene;PROPYLENE GLYCOL;Propylene Glycol;Propylene glycol;propylene glycol;propyleneglycol;Propylene glycol preparation|C0072225|||C0072225|CHV;CSP;LNC;MSH;MTH;MTHSPL;NCI;NDFRT;RXNORM;SNOMEDCT;VANDF|||
PEG|Macrogol;Macrogols;macrogol;macrogols;PEG - Polyethylene glycol;POLYOXYETHYLENE;Polyoxyethylene;Polyoxyethylenes;polyoxyethylene;Polyethylene glycol product|C0032483|||C0032483|CHV;MSH;NDFRT;SNOMEDCT;VANDF|||
PEG|Macrogol (substance)||||C0032483|SNOMEDCT|||
PEG|PEG;peg||||C0032478;C0032483;C0072225;C0176751|CHV;CSP;LNC;MTHICD9;MTHMST;NCI|||
PEG|POLYETHYLENE GLYCOL 400 @ @ UNIDENTIFIED;POLYETHYLENE GLYCOL 400 UNIDENTIFIED||||C0032478|RXNORM|||
PEG|POLYETHYLENE GLYCOL 400 LIQUID|C0032478;C1178139|||C0032478|NDFRT;VANDF|||
PEG|PROPANEDIOL 01 02||||C0072225|MSH|||
PEG|Patient Evaluation Grid||||||||1
PEG|Percu endosc gastrostomy||||C0176751|ICD9CM|||
PEG|Percutaneous endoscopic gastrostomy (procedure)||||C0176751|SNOMEDCT|||
PEG|Percutaneous gastrostomy (procedure)||||C0176751|MTHMST|||
PEG|Poly(oxyethylene)||||C0032478|NCI|||
PEG|Polyethylene Glycols [Chemical/Ingredient]||||C0032483|NDFRT|||
PEG|Polyethylene glycol (substance)||||C0032483|SNOMEDCT|||
PEG|Polyethylene glycol product (product)||||C0032483|SNOMEDCT|||
PEG|Polyethylene glycol product (substance)||||C0032483|SNOMEDCT|||
PEG|Propan-1,2-Diol||||C0072225|MSH;NDFRT|||
PEG|Propylene Glycol [Chemical/Ingredient]||||C0072225|NDFRT|||
PEG|Propylene glycol (product)||||C0072225|SNOMEDCT|||
PEG|Propylene glycol (substance)||||C0072225|SNOMEDCT|||
PEG|pegylated||||||1|0.0044|1
PEG|percutaneous endoluminal gastrostomy||||||||1
PEG|pericyte edema generation||||||||1
PEG|pneumoencephalogram;pneumoencephalography|C0032279|||C0032279|AOD;CHV;CSP;LCH;MSH;SNOMEDCT|1|0.008|1
PEG|pneumonencephalograph||||||||1
PEG|pneumonencephalography||||||||1
PEG|poly(ethyleneglycol)||||||1|0.0068|
PEG|polyethylene glycol 4000|C0032479|||||1|0.0052|
PEG|polyethylene glycol 6000|C0030775|||||1|0.01|
PEG|polyethylene glycol 8000|C0030776|||||1|0.004|
PEG|polyethylene glycol solution||||||1|0.0016|
PEG|polyethylenglycol||||||1|0.0036|
PEG|propanediol|C0033437;C0072225|||C0072225|CSP|||
PE|ACE inhibitor perindopril||||||1|0.0014|
PE|ADAPTIN, BETA-3A;ADTB3A;AP3B1;AP3B1 gene;HPS2 GENE|C1412446|||C1412446|HUGO;MTH;OMIM|||
PE|ADAPTOR-RELATED PROTEIN COMPLEX 3, BETA-1 SUBUNIT;adaptor-related protein complex 3, beta 1 subunit||||C1412446|HUGO;OMIM|||
PE|CDDP/VP-16||||C0078414|NCI;PDQ|||
PE|Cephalin;Cephalins;cephalin;Phosphatidyl ethanolamine;phosphatidyl ethanolamine;phosphatidyl-ethanolamine;Phosphatidylethanolamine;Phosphatidylethanolamines;phosphatidylethanolamine;phosphatidylethanolamines|C0031618;C1450468|||C0031618;C1450468|AOD;CHV;CSP;FMA;LNC;MSH;MTH;NCI;NDFRT;RXNORM;SNOMEDCT|1|0.01|1
PE|Cisplatin/Etoposide;cisplatin and etoposide;cisplatin etoposide;cisplatin-etoposide;cisplatin/etoposide;P-VP protocol;VP-P protocol;VP-P chemotherapy protocol;VP-Plat;VPP;cisplatin/etoposide protocol|C0078414|||C0078414|CHV;MSH;MTH;NCI;PDQ|1|0.0109|
PE|EP||||C0078414|PDQ|||
PE|Ethanolamine Phosphoglycerides;Ethanolamine phosphoglyceride;Phosphoglycerides, Ethanolamine;Ethanolamineglycerophospholipids|C0031618|||C0031618|MSH;NDFRT;SNOMEDCT|||
PE|Ever told by doctor that you had pulmonary embolus||||C2926590|LNC|||
PE|Ever told by doctor that you had pulmonary embolus:Find:Pt:^Patient:Ord||||C2926590|LNC|||
PE|Ever told by doctor that you had pulmonary embolus:Finding:Point in time:^Patient:Ordinal||||C2926590|LNC;MTH|||
PE|HPS2||||C1412446|HUGO;OMIM|||
PE|PE||||C0031238;C0031618;C0078414;C1412446;C1744699;C2926590|AOD;LNC;NCI;OMIM;PDQ|||
PE|PEARL, MOUSE, HOMOLOG OF||||C1412446|OMIM|||
PE|PER||||C0031238|NCI|||
PE|PERU;Peru;peru|C0031238|||C0031238|AOD;CHV;CSP;LCH;MSH;MTH;NCI;SNOMEDCT|||
PE|PVp||||C0078414|NCI;PDQ|||
PE|Pemphigus erythematosus|C0263312|||||1|0.0041|
PE|Peru (geographic location)||||C0031238|SNOMEDCT|||
PE|Phosphatidyl ethanolamine (substance)||||C0031618|SNOMEDCT|||
PE|Phosphatidylethanolamines [Chemical/Ingredient]||||C0031618|NDFRT|||
PE|Phosphoethanolamine;phosphoethanolamine|C0031618;C0070939|||C0031618;C0070939|CHV;LNC;MSH;MTH;SNOMEDCT|1|0.0127|
PE|Physical Exam|C0031809;C0804816;C1744699|||C1744699|NCI|||
PE|Physical Exam Domain|C1744699|||C1744699|MTH;NCI|||
PE|Proenkephalin;proenkephalin|C0072068;C1418457|||C0072068;C1418457|HUGO;MSH;MTH;OMIM|1|0.0141|
PE|Proestrus;proestrus|C0033274;C2960704|||C0033274;C2960704|GO;MSH;MTH;SNOMEDCT|1|0.0059|
PE|Pseudo-exfoliation||||||1|0.005|
PE|Pseudomonas exotoxin||||||1|0.0518|1
PE|Péclet number||||||||1
PE|after phacoemulsification||||||1|0.0027|
PE|agonist phenylephrine||||||1|0.0268|
PE|beta-phenylethylamine|C0070559|||C0070559|MSH;SNOMEDCT|1|0.005|
PE|cisplatin and etoposide chemotherapy protocol||||C0078414|CHV|||
PE|days postexposure||||||1|0.005|
PE|early promoter||||||1|0.0023|
PE|elastase|C0030306;C0699918|||||1|0.0086|
PE|element|C0013879;C1705248|||||1|0.005|
PE|epithelial cells|C0014597;C1273342;C2699513|||||1|0.0059|
PE|error positivity||||||1|0.0023|
PE|errors|C0743559|||||1|0.0059|
PE|esophageal pressure|C0232531|||||1|0.0027|
PE|expiratory pressure||||||||1
PE|extract|C2828366|||||1|0.0254|
PE|pancreatic extract||||||||1
PE|panendoscopy|C0679547|||||||1
PE|paper electrophoresis|C0013861|||C0013861|AOD;CSP;MSH|||1
PE|parallel elastic||||||||1
PE|parasitized erythrocytes||||||1|0.0045|
PE|parietal endoderm||||||1|0.0095|
PE|partial epilepsy|C0014547|||C0014547|CHV;MSH;NDFRT;SNOMEDCT|1|0.0032|1
PE|pectinesterase|C0070205|||C0070205|MSH;MTH;SNOMEDCT|1|0.0059|
PE|pectus excavatum|C0016842|||C0016842|CHV;COSTAR;DXP;ICD9CM;MSH;NDFRT;OMIM;SNOMEDCT|1|0.0082|
PE|pedal edema|C0574002|||||||1
PE|pelvic examination|C0200045|||C0200045|CHV;MSH;MTHICD9;NCI;SNOMEDCT|||1
PE|penile erection|C0030847|||C0030847|AOD;CHV;GO;MSH;SNOMEDCT|1|0.0109|1
PE|percutaneous endoscopic||||||||1
PE|pericardial effusion|C0031039;C1253937|||C0031039;C1253937|CHV;COSTAR;CST;DXP;MEDLINEPLUS;MSH;MTH;NCI;NDFRT;OMIM;SNOMEDCT;UWDA|1|0.0173|1
PE|perindopril|C0136123|||C0136123|CHV;MSH;NCI;NDFRT;RXNORM;SNOMEDCT;USPMG;VANDF|||
PE|peritoneal exudate|C0003962|||C0003962|CSP|1|0.0218|1
PE|periventricular hypothalamic nucleus|C1283308|||||1|0.0027|
PE|periventricular nucleus|C0003741|||C0003741|FMA|1|0.0041|
PE|permeability|C0031164|||||1|0.0045|
PE|persistent estrus||||||1|0.005|
PE|perus||||C0031238|CHV|||
PE|perylene|C0031243|||||||1
PE|petroleum ether|C0068407;C0303762|||C0068407;C0303762|AOD;CHV;CSP;MSH;SNOMEDCT|1|0.0059|
PE|phacoemulsification|C0282545|||C0282545|CHV;MSH;SNOMEDCT|||1
PE|pharyngoesophageal||||||1|0.0064|1
PE|phase encoding||||||||1
PE|phenylephrine|C0031469|||C0031469|AOD;CHV;CSP;LNC;MSH;MTHSPL;NCI;NDFRT;RXNORM;SNOMEDCT;USPMG;VANDF|||
PE|phenylephrine hydrochloride|C0031470|||C0031470|CHV;MSH;MTHSPL;NCI;NDFRT;RXNORM;SNOMEDCT;USPMG;VANDF|||
PE|phenylethylamine|C0031399|||C0031399|AOD;CHV;CSP|||
PE|phorbol esters|C0031586|||||1|0.0023|
PE|phosphorylethanolamine|C0070939|||C0070939|MSH|1|0.0082|
PE|photographic effect||||||||1
PE|phycoerythrin|C0031789|||C0031789|CSP;MSH;NDFRT;SNOMEDCT|||1
PE|physical education|C0031805|||C0031805|CHV;MSH|1|0.0223|1
PE|physical evaluation||||||||1
PE|physical examination|C0031809|||C0031809|AIR;AOD;AOT;CHV;LNC;MSH;MTH;NCI;SNOMEDCT|1|0.0204|1
PE|physical exercise|C0015259|||C0015259|AOD;CHV;MSH;SNOMEDCT|1|0.0045|1
PE|physiologic ecology||||||||1
PE|phytoestrogens|C0071011|||||1|0.0041|
PE|pigment epithelial;pigmented epithelial||||||1|0.0168|
PE|pigment epithelium;pigmented epithelium|C1519082|||C1519082|NCI|1|0.0241|1
PE|pigmented ciliary epithelial||||||1|0.0055|
PE|placental extract|C0032048|||C0032048|CHV|||
PE|plasma epinephrine||||||1|0.0036|
PE|plasma exchange|C0032113;C0032134|||C0032113;C0032134|AOD;CHV;MSH;MTH;NCI;PDQ;SNOMEDCT|1|0.1608|1
PE|plasma extravasation||||||1|0.0068|
PE|plating efficiency||||||1|0.02|1
PE|pleiotropic functional defect||||||||1
PE|pleural effusion|C0032227;C1253943|1|0.002|C0032227;C1253943|AOD;CHV;COSTAR;CST;MEDLINEPLUS;MSH;NCI;NDFRT;OMIM;SNOMEDCT;UWDA|1|0.0232|1
PE|pneumatic equalization||||||||1
PE|point of entry||||||||1
PE|polychromatic erythrocytes||||||1|0.0036|
PE|polyelectrolyte||||||1|0.0059|
PE|polyethylene|C0032487;C0137914|||C0032487;C0137914|AOD;CHV;CSP;LCH;MSH;MTH;NDFRT;SNOMEDCT;VANDF|1|0.105|1
PE|polynuclear eosinophil||||||||1
PE|porcine pancreatic endocrine||||||1|0.0027|
PE|portal embolization||||||||1
PE|portoenterostomy|C0032722|||C0032722|CHV;MSH;SNOMEDCT|1|0.0041|
PE|post-exposure||||||1|0.0077|
PE|potential energy|C0678538|||C0678538|AOD;NCI|1|0.0059|1
PE|powdered extract||||||||1
PE|power of exclusion||||||1|0.0041|
PE|pre-eclampsia;preeclampsia|C0032914|||C0032914|CHV;MSH;MTH;NDFRT;SNOMEDCT|1|0.0691|1
PE|precedence effect|C0599694|||C0599694|CSP|1|0.0045|
PE|prediction error||||||1|0.0041|
PE|preeclamptic||||||1|0.0073|
PE|preexcitation|C0032915|||||||1
PE|pregnenolone|C0033016;C0373704|||||1|0.0045|
PE|premature ejaculation|C0033038|||C0033038|AOD;CHV;COSTAR;ICD9CM;NCI;SNOMEDCT|1|0.0182|1
PE|preoperative portal embolization||||||1|0.0018|
PE|prescription error||||||||1
PE|present examination||||||||1
PE|pressure equalization||1|0.178|||||1
PE|pressure on expiration||||||||1
PE|prior to exposure||||||||1
PE|probability of exclusion||||||1|0.005|
PE|probable error||||||||1
PE|probe excision||||||||1
PE|proliferative enteritis||||||1|0.0045|
PE|proliferative enteropathy||||||1|0.0045|
PE|prolonged exposure||||||1|0.0036|
PE|prolyl endopeptidase|C0072132;C1418885|||||1|0.0036|
PE|protective efficacy||||||1|0.005|
PE|protein excretion||||||||1
PE|pseudoephedrine|C0033798;C0524257|||C0033798;C0524257|CHV;LNC;MSH;MTH;MTHSPL;NCI;NDFRT;RXNORM;SNOMEDCT;VANDF|||
PE|pseudoexfoliation||||||1|0.0041|
PE|psychotic event||||||||1
PE|pulmonary edema|C0034063|||C0034063|AOD;CHV;COSTAR;CSP;CST;DXP;LCH;MSH;MTH;NCI;NDFRT;SNOMEDCT|1|0.0145|1
PE|pulmonary emboli;pulmonary embolus;pulmonary embolism|C0034065|1|0.816|C0034065|CHV;COSTAR;CSP;CST;DXP;ICPC;LCH;LNC;MEDLINEPLUS;MSH;MTH;MTHICD9;NCI;NDFRT;OMIM;SNOMEDCT|1|0.0458|1
PE|pulmonary emphysema|C0034067|||C0034067|CHV;MEDLINEPLUS;MSH;MTH;NCI;NDFRT;QMR;SNOMEDCT|1|0.0082|1
PE|pulmonary thromboembolism|C0524702;C2709204|||||1|0.0064|
PE|push enteroscopy|C0399620|||C0399620|SNOMEDCT|||
PE|pyramidal eminence|C1186249|||||||1
PE|pyroelectric||||||||1
PE|pyrogenic exotoxin||||||||1
PERRL|PERRL;Pupils Equal Round and Reactive to Light Result|C2143305|||C2143305|NCI|||
PERRL|Pupils Equal, Round and Reactive to Light||||C2143305|NCI|||
PERRL|pupils equal, round, react to light||1|1.000|||||1
PET|Animal, Companion;Animals, Companion;Companion Animal;Companion Animals;Pet Animal;pet animal;pets (animal)|C0031268|||C0031268|AOD;CHV;MSH;MTH|||
PET|FDG-PET|C0032743;C0872169|||C0032743|NCI|||
PET|Imaging, PET;PET imaging;imaging pet;pet imaging;Medical Imaging, Positron Emission Tomography;PET - Positron emission tomography;Positron emission tomography (PET);positron-emission tomography (PET);PET Scan;PET Scans;PET scan;PET scan, NOS;Scan, PET;Scans, PET;pet scan;pet scans;Positron Emission Tomography;Positron emission tomography;Positron emission tomography, NOS;Positron-Emission Tomography;Tomography, Positron Emission;Tomography, Positron-Emission;positron emission tomography;positron-emission tomography;Positron Emission Tomography Scan;positron emission tomography scan;Positron emission tomographic imaging;Positron emission tomographic imaging - action|C0032743|1|1|C0032743|AOD;CHV;CSP;HL7V2.5;HL7V3.0;LNC;MEDLINEPLUS;MSH;MTH;MTHHH;NCI;PDQ;SNOMEDCT|1|0.8997|1
PET|PET;Pet;Pets;pet;pets|C0031268;C1456682|||C0031268;C0032743|AOD;CHV;CSP;MSH;NCI|||
PET|PETT||||C0032743|CSP|||
PET|POSITRON EMISS TOMOGR;TOMOGR POSITRON EMISS||||C0032743|MSH|||
PET|Parent Effectiveness Training||||||||1
PET|Peritoneal Equilibration Test;peritoneal equilibration test|C0430949;C0878801|||C0430949;C0878801|MTH;MTHICD9;SNOMEDCT|1|0.0272|1
PET|Polyethyleneterephthalate;polyethylene terephthalate|C0032485|||C0032485|CHV;MSH;NDFRT|1|0.0166|1
PET|Positron emission tomographic imaging - action (qualifier value)||||C0032743|SNOMEDCT|||
PET|Positron emission tomography (procedure)||||C0032743|SNOMEDCT|||
PET|Professional Employment Test||||||||1
PET|functional|C0205245;C0542341;C2700217|||||1|0.0016|
PET|pancreatic endocrine tumor;pancreatic endocrine tumors|C0242363|||C0242363|CHV;SNOMEDCT|1|0.0009|
PET|paraffin-embedded tissue||||||1|0.0017|1
PET|patulous eustachian tube|C0155434|||||1|0.0008|
PET|peak ejection time||||||||1
PET|pear-shaped extension tube||||||||1
PET|petrolatum|C0031262|||||1|0.0018|
PET|phosphatidylethanol|C0070787|||||1|0.0112|
PET|photoinduced electron transfer||||||1|0.0051|
PET|polyester|C0032474|||C0032474|CHV;MSH;SNOMEDCT|1|0.0013|
PET|polyethylene terephtalate||||||1|0.0007|
PET|polyethylene tube||||||||1
PET|poor exercise tolerance|C3149603|||||||1
PET|positron emission tomograph||||||1|0.0027|
PET|positron emission tomographic||||||1|0.0262|
PET|postexposure treatment||||||||1
PET|pre-eclamptic toxaemia|C0032914|||||1|0.0014|
PET|predominantly epithelial thymoma||||||||1
PET|preeclamptic toxemia|C0032914;C2931877|||C2931877|MSH|||1
PET|pressure equalization tube||||||||1
PET|problem elicitation technique||||||||1
PET|progressive exercise test|C0430513|||||||1
PET|proton magnetic resonance spectroscopic imaging|C0032743;C1522706|||C0032743|NCI|||
PET|pulmonary endodermal tumor||||||||1
PET|treatment|C0039798;C0087111;C1522326;C1533734;C1705169;C3161471|||||1|0.0012|
PFO|patent foramen ovale|C0016522;C2939192|1|1.000|C0016522|CHV;MSH;NCI;NDFRT;OMIM;SNOMEDCT|1|0.8947|1
PFO|perfluoro-N-octane;perfluoro-n-octane|C0166273|||||1|0.0263|1
PFO|perfluorooctanoate|C2964281|||C2964281|LNC;MSH|||
PFO|perfringolysin O|C0110119|||||1|0.0614|
PFO|persistent foramen ovale|C1397674|||C1397674|OMIM|||
PFO|plantar fasciitis orthosis||||||||1
PFO|pyruvate|C0034354;C0244104|||||1|0.0175|
PH|1 Chromosome, Ph;1 Chromosomes, Ph;Chromosome, Ph 1;Chromosomes, Ph 1;Ph 1 Chromosome;Ph 1 Chromosomes;ph 1 chromosome;Chromosome, Ph1;Chromosomes, Ph1;Ph1 Chromosome;Ph1 Chromosomes;Chromosome, Philadelphia;Philadelphia Chromosome;Philadelphia chromosome;chromosome philadelphia;chromosomes philadelphia;philadelphia chromosome|C0031526|||C0031526|CHV;CSP;MSH;MTH;NCI;NDFRT|1|0.0748|
PH|Concentration, Hydrogen-Ion;Concentrations, Hydrogen-Ion;Hydrogen Ion Concentration;Hydrogen ion concentration;Hydrogen-Ion Concentration;Hydrogen-Ion Concentrations;Hydrogen-ion concentration;hydrogen ion concentration;H+ concentration;H^+^ concentration;potential of Hydrogen|C0020283|1|1|C0020283|CSP;LCH;MSH;MTH;NCI;SNOMEDCT|1|0.0086|1
PH|Finding of pH;pH - finding;pH level|C1304686|||C1304686|CHV;MTH;SNOMEDCT|||
PH|Finding of pH (finding)||||C1304686|SNOMEDCT|||
PH|H/O: medical history NOS||||C0455458|SNOMEDCT|||
PH|H/O: medical history NOS (situation)||||C0455458|SNOMEDCT|||
PH|H<sup>+</sup> concentration||||C0020283|SNOMEDCT|||
PH|History of;history|C0019664;C0019665;C0262512;C0262926;C1705255;C2004062|||C0332119|LNC;SNOMEDCT|1|0.0045|
PH|History of (situation)||||C0332119|SNOMEDCT|||
PH|History of - medical history NOS||||C0455458|SNOMEDCT|||
PH|History of - medical history NOS (context-dependent category)||||C0455458|SNOMEDCT|||
PH|History of - medical history NOS (situation)||||C0455458|SNOMEDCT|||
PH|Hydrogen ion concentration (function)||||C0020283|SNOMEDCT|||
PH|Hydrogen ion concentration (observable entity)||||C0020283|SNOMEDCT|||
PH|Hydrogen ion concentration, function (observable entity)||||C0020283|SNOMEDCT|||
PH|Intracellular pH||||||1|0.004|
PH|PAH||||C1418251|HUGO;OMIM|||
PH|PAH gene|C1418251|||C1418251|HUGO;LNC;MTH|||
PH|PH;Ph;[pH];pH;ph|C0020283;C0450407;C0450408;C0450409;C1304686|||C0020283;C0031526;C0031529;C0031843;C0332119;C0455458;C1304686;C1418251|CHV;CSP;HL7V3.0;HUGO;LNC;MSH;MTH;NCI;SNOMEDCT|||
PH|PHAA CHROMOSOME||||C0031526|MSH|||
PH|PHENYLALANINE HYDROXYLASE;phenylalanine hydroxylase;phenylalanine 4-monooxygenase|C0031456;C1418251|||C0031456;C1418251|CHV;HUGO;LNC;MSH;MTH;NDFRT;OMIM;SNOMEDCT|1|0.0071|1
PH|PHILIPPINES;Philippines;philippines;Philipines;Phillipines;Phillippines|C0031529|||C0031529|AOD;CHV;CSP;LCH;MSH;MTH;NCI;SNOMEDCT|||
PH|PHL||||C0031529|NCI|||
PH|PHYSIOL||||C0031843|MSH|||
PH|PMH - past medical history;health history|C0455458|||C0455458|CHV;MTH;SNOMEDCT|||
PH|Past history of;past history|C0332119|||C0332119;C0455458|CHV;MTH;SNOMEDCT|||1
PH|Past history of (context-dependent category)||||C0332119|SNOMEDCT|||
PH|Past history of (situation)||||C0332119|SNOMEDCT|||
PH|Past medical history;Past medical history of|C0262926;C0455458|||C0455458|LNC;SNOMEDCT|||
PH|Past medical history (situation)||||C0455458|SNOMEDCT|||
PH|Past medical history of (contextual qualifier) (context-dependent category)||||C0455458|SNOMEDCT|||
PH|Periventricular heterotopia;periventricular heterotopia|C2678104|||C2678104|OMIM|1|0.0045|
PH|Philadelphia|C0031525|||||1|0.1647|
PH|Philadelphia Chromosome [Disease/Finding]||||C0031526|NDFRT|||
PH|Philippines (geographic location)||||C0031529|SNOMEDCT|||
PH|Pleckstrin homology||||||1|0.2602|
PH|RP|C1538326|||C0031529|NCI|||
PH|acidity|C0001128;C0847097;C0920750|||||1|0.0081|
PH|function|C0031843;C0542341;C0700205;C1705273|||C0031843|MSH|||
PH|hydrochloride|C1512523|||||1|0.0066|
PH|hydrogen-Ion concentration (pH)||||C0020283|CHV|||
PH|hyperplasia|C0020507|||||1|0.0091|
PH|palmar hyperhidrosis|C1856953|||C1856953|OMIM|1|0.0086|
PH|parathyroid hormone|C0030520;C1882913|||||||1
PH|parenchymal hematoma||||||||1
PH|parenchymal hemorrhage|C0747264|||||||1
PH|partial hepatectomy|C0193398|||C0193398|ICD9CM;MTH;NCI;SNOMEDCT|||1
PH|partial hysterectomy|C1270947|||||||1
PH|partially hepatectomized||||||1|0.0045|
PH|passive hemagglutination||||||||1
PH|peak height||||||1|0.004|
PH|peliosis hepatitis|C0030781|||||||1
PH|perianal herpes||||||||1
PH|persistent hepatitis||||||||1
PH|personal history|C0262926;C0424945|||||||1
PH|pharmacopeia|C0376689|||||||1
PH|phase|C0205390|||||||1
PH|phenanthrene|C0031367|||||||1
PH|phenol|C0031428;C0070570|||C0031428;C0070570;C1556058|CHV;CSP;HL7V2.5;HL7V3.0;LNC;MSH;MTH;MTHSPL;NCI;NDFRT;RXNORM;SNOMEDCT;VANDF|1|0.0101|
PH|phenol hydroxylase|C0070571|||C0070571|MSH;SNOMEDCT|||
PH|phentolamine|C0031448|||C0031448|AOD;CHV;CSP;LCH;MSH;MTH;NCI;NDFRT;RXNORM;SNOMEDCT;USPMG;VANDF|1|0.0096|
PH|phenyl|C2945751|||||||1
PH|phenylephrine|C0031469|||||1|0.0061|
PH|phenylhydrazine|C0031479|||C0031479|CHV;CSP;MSH;RXNORM;SNOMEDCT|1|0.0061|
PH|phial|C0184301;C1533199;C1706497|||||||1
PH|phote||||||||1
PH|physiological aspects|C0031843|||C0031843|MTH|||
PH|physiology|C0031842;C0031843|||C0031843|MSH|||
PH|physostigmine|C0031849|||C0031849|AOD;CHV;CSP;MSH;MTH;NCI;NDFRT;RXNORM;SNOMEDCT;USPMG;VANDF|1|0.0056|
PH|pinhole|C0450042|||||||1
PH|polycythemia hypertonica|C0541719;C2242785|||||||1
PH|polyhomeotic|C0137798|||C0137798|NCI|1|0.0147|
PH|poor health|C0683321|||||||1
PH|porphyria hepatica||||||||1
PH|portal hypertension|C0020541|||C0020541|AOD;CHV;COSTAR;CSP;DXP;ICD9CM;MSH;NCI;OMIM;SNOMEDCT|||
PH|posterior|C0205095|||||1|0.0056|
PH|posterior hypothalamic nucleus|C0228385;C1289574|||C0228385;C1289574|FMA;SNOMEDCT|1|0.0051|
PH|posterior hypothalamus|C0020670|||C0020670|FMA;MSH|1|0.0273|1
PH|postural hypotension|C0020651|||C0020651|CHV;COSTAR;CSP;CST;ICPC;MSH;NCI;OMIM;SNOMEDCT|1|0.0101|
PH|prepositus hypoglossi||||||1|0.0131|
PH|previous history||||||||1
PH|primary hyperoxaluria|C0020501|||C0020501|CSP;DXP;MSH;MTHICD9;NDFRT;SNOMEDCT|1|0.0157|
PH|primary hyperparathyroidism|C0221002|||C0221002|CHV;ICD9CM;MSH;NCI;NDFRT;SNOMEDCT|1|0.0045|1
PH|primary hypertension|C0085580|||C0085580|AOD;CHV;CSP;NCI;SNOMEDCT|||
PH|primary hypogonadism|C0022735;C0948896;C1384582|||||||1
PH|prolyl 4-hydroxylase|C0033384;C1622631|||||1|0.0121|
PH|prolyl hydroxylase;prolylhydroxylase|C0033384|||C0033384|MSH;NDFRT|1|0.0147|1
PH|proportional hazards||||||1|0.0086|
PH|prostatic hypertrophy|C0005001;C1739363;C2937421|||||||1
PH|pseudohermaphroditism|C0033804|||||||1
PH|pubic hair|C0221988;C1305636|||||1|0.0056|1
PH|pubic hair stage|C0429608|||C0429608|SNOMEDCT|||
PH|public health|C0034019;C0699943|||C0034019;C0699943;C1552283|AOD;CHV;CSP;HL7V3.0;LCH;LNC;MSH;NCI|1|0.0035|1
PH|pulmonary arterial hypertension|C0152171;C2973725|||C0152171;C2973725|MEDLINEPLUS;MSH;MTH;OMIM|||
PH|pulmonary hemorrhage|C0151701|||C0151701|CHV;CST;MTH;NCI;OMIM;SNOMEDCT|1|0.0106|
PH|pulmonary hypertension|C0020542;C1963220|||C0020542;C1963220|AOD;CHV;COSTAR;CSP;CST;DXP;LCH;MEDLINEPLUS;MSH;MTH;MTHICD9;NCI;NDFRT;OMIM;SNOMEDCT|1|0.2299|1
PH|pulmonary hypoplasia|C0265783|||C0265783|CHV;OMIM;SNOMEDCT|1|0.0121|
PH|pulp horn|C0447400|||||||1
PH|punctate hemorrhage||||||||1
PICC|Long line;PIC line;pic line;PICC line;picc line;Peripherally inserted central catheter (physical object);picc|C0179740|||C0179740|CHV;MTH;SNOMEDCT|||
PICC|Peripherally inserted central catheter;peripherally inserted central catheter||1|1|C0179740|SNOMEDCT|1|1|1
PICC|peripherally inserted central catheter (PICC)||||C0179740|CHV|||
