abbreviation	sense	variation	CUI	frequency
dds	"4,4'-diaminodiphenylsulfone"	dds_1	c0010980	0.451
bcx	blood culture	BCX_7|Bcx_2|bcx_1|BCx_13	c0200949	1
cbcs	complete blood counts	CBCs_15	c0009555	1
n0	node 0	N0_14	c0441959	1
dvt	deep vein thrombosis	dvt_1|.DVT_1|DVT_18	c0149871	1
svt	supraventricular tachycardia	SVT_25|.SVT_1	c0039240	1
cpt	continuous performance test	CPT_1	c0549178|c0871060	0.0433
cpt	current procedural terminology	CPT_17	c1138431	0.9567
hsv	herpes simplex virus	HSV_25|hsv_2	c0206558	1
ercp	endoscopic retrograde cholangiopancreatography	ERCP_25|..ERCP_1	c0008310	1
