LF1|LF2|Synonym
toll-interleukin-1 receptor domain-containing adapter-inducing interferon-beta|Toll-interleukin 1 receptor domain-containing adapter-inducing interferon-beta|Y
abnormal coronary artery|normal coronary artery|N
L-glutamine|glutamin|N
interleukin 1 receptor type 1|interleukin 1 receptor type II|N
American Society of Anaesthesiology Class IV|American Society of Anesthesiologists status IV|Y
cluster of differentiation 99|Clusters of Differentiation|N
oestrogen receptor β knock-out|estrogen receptor β knockout mouse|Y
human adenovirus 1|human adenovirus type 33|N
posterior wall myocardial infarction|lateral wall myocardial infarction|N
Iκ-B kinase-γ|I κB kinase|N
mitogen-activated protein kinase kinase kinase-1|mitogen activated protein kinase kinase-4|N
anti-interleukin-10 antibody|anti-interleukin-1alpha antibody|N
posttransplant lymphoproliferative disease|post transplantation lymphoproliferative disorders|Y
IL-18 receptor alpha-chain|IL-11 receptor α-chain|N
β-site APP cleaving enzyme-1|β-APP cleaving enzyme 2|N
pregnancy-associated plasma protein-A|Pregnancy-associated murine protein-1|N
Fc γ receptor dependent|Fcgamma receptor dependent|Y
immobilized metal ion affinity chromatography|immobilised metal-ion affinity chromatography|Y
surface-enhanced laser desorption/ionization time-of-flight|surface-enhanced laser desorption ionization|N
Na-K-Cl cotransporter 1 protein|Na-K-Cl cotransporter-1|Y
C. difficile associated disease|C. difficile-associated disease|Y
serine protease inhibitor Kazal|serine protease inhibitor|N
transcription factor TEF|transcription factor IIIC|N
ataxia telangiectasia mutated protein|ataxia telangiectasia-mutated kinase|N
interleukine-5 receptor α-chain|interleukin-13 receptor α1-chain|N
Krüppel-like factor-11|Kruppel-like factor 3|N
steroid 5-alpha-reductase type 2|steroid 5α-reductase type II|Y
interleukin-1 type-1 receptor|interleukin 9 receptor|N
tumour necrosis factor α|tumor necrosis factor-β|N
trefoil factor 2|trefoil factor|N
anti-beta(2)-glycoprotein 1 antibody|anti-β2-glycoprotein I antibody|Y
adenosine triphosphate binding pocket|adenosine triphosphate-binding subunit|N
transform ion cyclotron resonance|fourier transform ioncyclotron resonance|N
paired box 2|paired box gene 2|N
sex determining region Y, box 8|sex-determining region Y-box 3|N
magnesium-furaptra red|magnesium-furaptra|Y
Simulium nodosum|Simulium damnosum|N
active oxygen species|activated oxygen species|Y
Ca(2+) release-activated Ca(2+) channel|Ca2+-release-activated Ca2+ channel|Y
beta sialoglycoprotein|sialo-glycoprotein|N
Fc ε receptor 1|Fc γ receptor|N
A disintegrin and metalloprotease 33|a disintegrin and metalloprotease-3|N
phospholipase-C β1|phospholipase C β(3)|N
phospholipase Cβ2|phospholipase Cbeta(2)|Y
anti-β(2)-glycoprotein 1 antibody|anti-β-2-glycoprotein-1 antibody|Y
4-chlorophenol|chlorophenol|N
apolipoprotein E ε-4|apolipoprotein a i|N
retinitis pigmentosa|X linked retinitis pigmentosa|N
human β defensin 1|human β defensin 3|N
American Society of Anaesthesiology Class III|American Society of Anesthesiologists'|N
excision repair cross complementation 1|excision repair cross-complementing 3|N
Kruppel-like factor-15|krüppel-like factor 15|Y
insulinlike growth factor 2|insulin-like growth factor receptor-1|N
American Society of Anesthesiology Class III|American Society of Anesthesiology status III|Y
proteasome subunit β type 8|proteasome subunit alpha type 6|N
tumour necrosis factor α production|tumor necrosis factor-α protein|N
Krüppel-like factor-15|Krüppel-like factor 2|N
interleukin-2 receptor-α|interleukin-3 receptor-α|N
ribosomal protein L11|ribosomal protein S8|N
bilateral common carotid artery occlusion|internal carotid artery occlusion|N
secreted a disintegrin and metalloprotease 28|a disintegrin and metalloprotease 12-S|N
chicken luteinising hormone releasing hormone I|luteinizing-hormone-releasing hormone|N
anti-interleukin 2 antibody|anti-interleukin 17 antibody|N
electron probe X-ray micro analysis|electron probe microanalyser|Y
anti-interleukin 8 monoclonal antibody|anti-interleukin-1alpha monoclonal antibody|N
vertebral artery|left vertebral artery|N
cytidine triphosphate|deoxycytidine 5'-triphosphate|N
peptidyl glycine α-amidating mono-oxygenase|peptidyl-glycine-alpha-amidating mono-oxygenase|Y
antimouse lymphocyte serum|anti-lymphocyte serum|N
transforming growth factor β1|human transforming growth factor β1|Y
neural precursor cell expressed, developmentally downregulated 5|neural-precursor cell-expressed developmentally down-regulated 5|Y
interleukin-12 receptor β 1 chain|interleukin-18 receptor α chain|N
tumor necrosis factor receptor superfamily member 6|tumor necrosis factor receptor superfamily 1A|N
transforming growth factor beta-2|human transforming growth factor α|N
kruppel-like factor-9|Kruppel-like factor-13|N
transforming growth factor β2|human transforming growth factor-β 2|Y
A disintegrin and metalloproteinase 33|a disintegrin and metalloproteinase 21|N
Na(+)/H(+) exchanger-3|Na+/H+ exchanger|N
serum glutamic oxalacetic transaminase|glutamine oxaloacetic transaminase|N
electron probe X-ray microanalyser|electron-probe X-ray micro-analysis|Y
male specific lethal 1|male specific lethal complex|N
metabotropic glutamate receptor 1α|metabotropic glutamate receptor type 2|N
maximum urethral pressure|maximum closure pressure|N
human immunodeficiency virus type 1 antibody|human immunodeficiency virus antigen|N
AMPA receptor|SNAP receptor|N
anti-toll-like receptor-4 monoclonal antibody|anti-toll-like receptor-2 antibody|N
meta-iodo-benzylguanidine scan|meta-iodo-benzylguanidine|Y
cross polarization magic-angle-spinning nuclear magnetic resonance spectroscopy|cross polarisation magic-angle spinning nuclear magnetic resonance spectroscopy|Y
stromal-derived factor-1|stromal-derived factor 2|N
triglycine|triglyceride|N
transient receptor potential vanilloid receptor 6|transient receptor potential vanilloid type 3|N
human transforming growth factor β 2|recombinant human transforming growth factor-β 3|N
delayed cutaneous hypersensitivity|delayed-type hypersensitivity|Y
α2C adrenergic receptor|alpha2C adrenergic receptor|Y
fan-beam dual X-ray absorptiometry|fanbeam dual-energy X-ray absorptiometry|Y
receptor-like protein-tyrosine phosphatase-delta|receptor-like protein tyrosine phosphatase-κ|N
human transforming growth factor-beta 1|recombinant human transforming growth factor-beta 2|N
adenosine monophosphate|cyclic adenosinemonophosphate|N
sex-determining region Y-box 6|sex-determining region Y-box 9|N
nucleoside-triphosphatase|nucleotide pyrophosphatase|N
krueppel-like factor 5|kruppel-like factor-3|N
effective blood volume|relative blood volume|N
American Society of Anesthesiology Class IV|American Society of Anaesthesiology physical status 5|N
non-selective cation conductance|non-selective cation channel-2|N
type V secretory phospholipase A(2)|secretory phospholipase A(2)-IIA|N
neural precursor cell-expressed, developmentally down-regulated 8|neural-precursor cell-expressed developmentally down-regulated 1|N
G protein-coupled receptor|G protein coupled oestrogen receptor|N
A disintegrin and metalloproteinase 10|A disintegrin and metalloprotease 12-S|N
messenger ribonucleoprotein particle|messenger ribonucleoprotein|Y
corticotrophin-releasing-hormone receptor 2|thyrotropin-releasing hormone receptor 1|N
interleukin-4 receptor alpha chain|interleukin-13 receptor α 2-chain|N
Registered Mental Nurse|Registered General Nurse|N
ribosomal protein S9|ribosomal protein S24|N
α 7 nicotinic acetylcholine receptor|α 4 β 2 nicotinic acetylcholine receptor|N
osteonecrosis of the femoral head|avascular necrosis of the femoral head|Y
α-1-microglobulin|α-2 macroglobulin|N
American Society of Anesthesiologists Grade 4|American Society of Anesthesiologists Status 2|N
human immunodeficiency virus risk|human immune deficiency virus|N
T helper 1 type|T helper type 2|N
t-complex testis-expressed|t-complex testis-expressed gene 5|N
interleukine 2 receptor γ chain|interleukin 11 receptor α-chain|N
neural precursor cell-expressed developmentally down-regulated 8|neural precursor cell-expressed, developmentally downregulated 5|N
crosspolarization/magic angle spinning nuclear magnetic resonance spectroscopy|cross polarization/magic angle spinning nuclear magnetic resonance|Y
nasal submucous resection|submucous resection|Y
anti-IL-12p70 monoclonal antibody|anti-CD33 monoclonal antibody|N
A disintegrin and metalloproteinase-29|a disintegrin and metalloproteinase 5|N
forced expiratory volume in 1 second|forced expiratory volume in 1s|Y
galactorrhœa amenorrhœa hyperprolactinemia syndrome|galactorrhoea amenorrhœa hyperprolactinæmia syndrome|Y
tretinoin|isotretinoin|N
hepatitis A virus|hepatitis D virus|N
a disintegrin and metalloprotease with thrombospondin motifs-19|a disintegrin-like and metalloproteinase with thrombospondin type1 motif 13 inhibitor|N
cyclic adenosine monophosphate receptor protein|cyclic adenosine monophosphate receptor 1|N
kinesin family member 2C|kinesin family member 21A|N
hepatocyte nuclear factor-1α|hepatic nuclear factor-4 α|N
stress-activated protein kinase-1c|stress-activated protein kinase-2a|N
V2 receptor|VLDL receptor|N
prostaglandin F-(2) α|prostaglandin I(2)|N
American Society of Anesthesiology Class V|American Society of Anaesthesiology grade II|N
accident & emergency patient|accident & emergency medicine|N
Peroxisome proliferator-activated receptors|peroxisome proliferator-activated receptor alpha agonist|N
insulin-like growth factor-II mRNA binding protein 3|insulin-like growth factor II binding|N
single stranded DNA binding protein|mitochondrial single stranded DNA binding protein|N
receptor protein-tyrosine phosphatase ζ|receptor protein tyrosine phosphatase|N
high-resolution computerised tomography|high resolution computed tomographic|Y
T cell receptor αβ|T-cell receptor δ|N
tri-iodothyronine|tetraiodothyronine|N
N-acetyltransferases|N-methyltransferase|N
plasma vascular endothelial growth factor level|vascular endothelial growth factor|N
staphylococcal superantigen-like protein 7|staphylococcal superantigen-like 5|N
interleukin 11 receptor α-chain|interleukin-12 receptor β1 chain|N
blood lactate concentration|lactate concentration|N
human adenovirus serotype 7|human adenovirus serotype 31|N
American Society of Anaesthesiologists Status I|American Society of Anesthesiologists Class 2|N
transcriptional intermediary factor 1-γ|transcriptional intermediary factor 1β|N
transforming growth factor-β4|Transforming growth factor-beta-1|N
hemoglobin Sealy|hemoglobin Ta-li|N
augmented correlation-consistent polarised valence quadruple-ζ basis set|augmented correlation-consistent polarised valence triple ζ basis set|N
rosette-forming cells|rosette forming cell|Y
gonadotropin releasing hormone receptor|corticotrophin-releasing hormone receptor|N
multi-drug resistance protein 1|multidrug-resistance associated protein 1|Y
osmotic water permeability coefficient|solute permeability coefficient|N
interleukin-1beta converting enzyme inhibitor|interleukin 1 beta-converting enzyme|N
interleukine-13 receptor α 2 chain|interleukine-15 receptor alpha-chain|N
cerebrospinal fluid protein|cerebrospinal fluid volume|N
interleukin 12 receptor β1 chain|interleukin-4 receptor alpha chain|N
A disintegrin and metalloprotease 19|a disintegrin and metalloprotease 22|N
multiple endocrine syndrome|multiple endocrine neoplasia 2B syndrome|N
matrix-assisted laser desorption ionisation time-of-flight mass spectrometry|surface-assisted laser desorption/ionisation time-of-flight mass spectrometry|N
Yip1 domain family, member 2|YTH domain family, member 2|N
oestrogen receptor α agonist|oestrogen receptor-α agonist|Y
hepatitis C virus|hepatitis B virus DNA|N
a disintegrin and metalloproteinase 15|a disintegrin and metalloproteinase 13|N
sixteen-slice spiral computed tomography|sixteen-slice computed tomography|N
human transforming growth factor beta|transforming growth factor α|N
laser-desorption ionisation time-of-flight mass spectrometry|matrix-assisted laser desorption ionisation time of flight mass spectrometry|N
N,N'-diphenyl-4-phenylenediamine|N,N-diethyl-p-phenylenediamine|N
ribosomal protein L2|ribosomal protein S12|N
beta-APP-cleaving enzyme-2|beta site APP-cleaving enzyme|N
2',3'-dideoxythymidine|2',3'-dideoxy-3'-thiacytidine|N
alpha-phenyl-tert-butylnitrone|alpha-phenyl-n-tert-butyl nitrone|Y
interleukine 4 receptor-α|interleukin 2 receptor|N
alpha2macroglobulin|alpha1 microglobulin|N
reactive site loop|reactive center loop|N
antiinsulin antibody|insulin antibody|Y
inositol phosphatase|[3H]inositol phosphate|N
a disintegrin and metalloprotease with thrombospondin motifs-3|a disintegrin and metalloproteinase with thrombospondin motif-20|N
interleukine 7 receptor α|interleukine-18 receptor α chain|N
left ventricular compliance|left ventricular systolic|N
2',3'-dideoxycytidine 5'-triphosphate|2',3'-dideoxythymidine 5'-triphosphate|Y
temperature|oral temperature|N
American Society of Anaesthesiologists grade 1|American Society of Anesthesiology status I|Y
matrix-assisted laser desorption/ionization mass spectrometry|matrix-assisted laser desorption/ionization time-of-flight mass spectrometry|N
translation elongation factor-1 α|eukaryotic translation elongation factor-1α1|N
peptidyl-glycine alpha-amidating mono-oxygenase|peptidyl glycine α-amidating mono-oxygenase|Y
branched chain alpha-ketoacid dehydrogenase|branched chain alpha-keto acid dehydrogenase complex|Y
neural-precursor cell-expressed developmentally downregulated 2|neural precursor cell expressed developmentally downregulated 2|Y
American Society of Anesthesiology Grade 4|American Society of Anesthesiologists Status I|N
deoxyribonucleic acid methyltransferase 2|deoxyribonucleic acid nucleotidyltransferase|N
peroxisome-proliferator-activated receptor β|peroxisome proliferator-activated receptor γ-1|N
endosomal sorting complex required for transport-0|endosomal sorting complex required for transport machinery|N
β-ketoacyl acyl-carrier protein reductase|β-ketoacyl-acyl carrier protein synthase I|N
PAS domain containing 1|YTH domain containing 2|N
vitamin|vitamin B2|N
internal cardioverter defibrillator|implanted cardioverter defibrillator|Y
interleukin-13 receptor alpha1-chain|interleukin-13 receptor alpha 1|Y
estrogen replacement therapy|testosterone replacement therapy|N
collagen type Ialpha2|collagen 8 alpha2|N
human adenovirus serotype 42|human adenovirus type 37|N
T-cell-receptor gamma delta-positive|T cell receptor gamma delta-positive|Y
corticotropin-releasing hormone receptor type 2|corticotropin-releasing-hormone receptor|N
apolipoprotein B|apolipoprotein E4|N
krüppel|Krüppel|Y
interleukine-7 receptor-α|interleukine-15 receptor-alpha|N
sporulation protein IVFB|sporulation protein IIB|N
renal tubular dysgenesis|renal tubular necrosis|N
American Society of Anesthesiologists class 2|American Society of Anaesthesiologists Class 1|N
American Society of Anaesthesiologists class 1|American Society of Anaesthesiologists grade 5|N
activating transcription factor 3|activating transcription factor 1|N
American Society of Anesthesiology Class 5|American Society of Anaesthesiologists Class II|N
a disintegrin and metalloproteinase 21|a disintegrin and metalloprotease-5|N
interstitial cell|interstitial glucose|N
American Society of Anaesthesiology status III|American Society of Anesthesiology physical status 3|Y
insulin-like growth factor-1-treated|insulin-like growth factor-1-stimulated|N
adenine phosphoribosyltransferase|hypoxanthineguanine phosphoribosyltransferase|N
Quality of Well-Being scale|quality of wellbeing scale|Y
peroxisome targeting signal-2|peroxisome-targeting signal-1|N
multiple intralumenal impedance|multi-channel intraluminal impedance|Y
anti-tyrosine hydroxylase|tyrosin-hydroxylase|N
alkylacetyl-glycero-phosphocholine|alkyl-acetyl-glycerophosphocholine|Y
gamma-aminobutyric acid A-benzodiazepine receptor complex|gamma-aminobutyric acidA/benzodiazepine receptor complex|Y
uncoordinated protein 45|uncoordinated protein 17|N
phospholipase C-γ|phospholipase C-β 3|N
intermediate lobe|neurointermediate lobe|N
neural-precursor-cell-expressed, developmentally down-regulated 5|neural precursor cell expressed, developmentally down-regulated 4|N
American Society of Anesthesiologists Grade 3|American Society of Anaesthesiology Grade II|N
rate of left ventricular pressure rise|rate of left ventricular pressure development|N
interleukin-12 receptor β2 chain|interleukin-13 receptor alpha1 chain|N
GTP binding protein γ-subunit|GTP binding protein βgamma subunit|N
neural precursor cell expressed, developmentally downregulated 9|neural-precursor-cell-expressed developmentally down-regulated 4|N
metabotropic glutamate receptor type 3 gene|metabotropic glutamate receptor 5|N
complete metabolic panels|complete metabolic response|N
platelet-derived growth factor A-chain|platelet-derived growth factor-B chain|N
h postinoculation|hour post-inoculation|Y
src homology 2 domain-containing protein-tyrosine phosphatase-1|src homology 2 domain containing protein tyrosine phosphatase substrate-1|N
4-(dimethylamino)pyridine|dimethylaminopurine|N
interleukin 1 receptor 1|interleukin 11 receptor α|N
transforming growth factor-beta type II receptor|transforming growth factor type beta|N
enterotoxigenic Escherichia coli|entero-invasive Escherichia coli|N
a disintegrin and metalloprotease-3|a disintegrin and metalloproteinase-33|N
insulin-like growth factor II messenger RNA-binding protein-2|insulin-like growth factor-II messenger RNA binding protein-2|Y
a disintegrin and metalloproteinase with thrombospondin motif-7|a disintegrin and metalloprotease with thrombospondin motif-19|N
a disintegrin and metalloprotease-22|a disintegrin and metalloprotease-29|N
glycolic acid|cholic acid|N
high resolution magic-angle-spinning nuclear magnetic resonance|cross polarisation magic-angle spinning nuclear magnetic resonance|N
interleukine-5 receptor α chain|interleukin 13 receptor α 2 chain|N
beta-N-methylamino-L-alanine|β-methylamino-alanine|Y
transcription factor 1|transcription factor IIE|N
src homology 2 domain-containing protein tyrosine phosphatase|Src homology 2 domain-containing protein tyrosine phosphatase substrate-1|N
a disintegrin and metalloprotease-28|a disintegrin and metalloproteinase 15|N
N-terminal proatrial natriuretic peptide|N-terminal pro-brain type natriuretic peptide|N
peroxisome proliferator-activated receptor-gamma|peroxisome proliferator activated receptor gamma1|N
bradykinin B1 receptor|bradykinin B2 receptor|N
flavin-containing monooxygenase 1|flavin-containing mono-oxygenase 5|N
extracellular-signal regulated kinase|extracellular signal-regulated kinase-1/2|N
A disintegrin and metalloproteinase-8|A disintegrin and metalloproteinase-11|N
brain-specific angiogenesis inhibitor 3|brain angiogenesis inhibitor 3|Y
anti-neutrophil cytoplasmic antibody positive|antineutrophil cytoplasmic antibody negativity|N
tumour necrosis factor receptor associated factor 1|tumour necrosis factor receptor-associated protein-1|N
trypsin proteinase inhibitor|cysteine proteinase inhibitor|N
Fcα receptor I|Fcγ receptor IIA|N
polymerase chain reaction assay|nest polymerase chain reaction|N
fluoro-phenylalanine|p-fluorophenylalanine|Y
enzyme-linked immunoabsorbent assay|dot enzyme-linked immunosorbent assay|N
IL-3 receptor alpha chain|IL-11 receptor alpha-chain|N
a disintegrin and metalloprotease with thrombospondin motif-18|a disintegrin and metalloproteinase with thrombospondin motifs-10|N
interleukin-15 receptor alpha chain|interleukine-2 receptor γ-chain|N
granulocyte-colony stimulating factor|Granulocyte-macrophage colony stimulating factor|N
receptor-like protein tyrosine phosphatase-alpha|receptor-type protein-tyrosine phosphatase beta|N
glioma-associated oncogene 1|glioma-associated oncogene homolog 1|Y
vitamin K1|vitamin|N
human colon epithelial cell|human lens epithelial B3 cell|N
soluble IL-1 receptor|soluble receptor|N
sporulation protein IIA|sporulation protein IIID|N
augmented correlation consistent polarized valence quadruple-ζ basis set|augmented correlation-consistent polarised valence triple ζ basis set|N
oro-facio-digital syndrome type II|orofaciodigital syndrome type VII|N
liver X receptor-α|liver X receptor α|Y
anti-IL 13 monoclonal antibody|anti-IL 18 monoclonal antibody|N
atrioventricular canal defect|atrioventricular nodal reentry|N
a disintegrin and metalloprotease 12|A disintegrin and metalloproteinase 15|N
phospholipase Cβ2|phospholipase B|N
transactivation response|trans-activation responsive element|Y
hæmoglobin|hemoglobin A|N
interferon-stimulated gene factor 3|interferon stimulated gene factor-3α|N
mucosa associated lymphoid tissue|bronchus-associated lymphoid tissue|N
computed tomography coronary angiography|multi-detector computed tomography-coronary angiography|N
American Society of Anesthesiology class II|American Society of Anaesthesiologists class 1|N
insulin like growth factor binding protein 2|insulin-like growth factor II mRNA binding protein-3|N
magnetic resonance imaging angiography|magnetic resonance axonography|N
granulocyte macrophage-colony-stimulating factor receptor|granulocyte/macrophage colony stimulating factor|N
interleukin-2 receptor α-subunit|interleukine 13 receptor α 2 subunit|N
post-challenge|days post-challenge|N
American Society of Anesthesiologists class IV|American Society of Anesthesiologists grade I|N
inositol(1,4,5)trisphosphate|inositol 1,3,4,5-tetrakisphosphate|N
a disintegrin and metalloproteinase-21|a disintegrin and metalloprotease 3|N
American Radium Society|American Pain Society|N
light-harvesting chlorophyll a/b binding protein-I|light-harvesting chlorophyll a/b-binding protein|N
P-glycoprotein 170|glycoprotein M|N
cytochrome P4501A|cyto-chrome P450|N
American Society of Anaesthesiology physical status 2|American Society of Anaesthesiologists class 1|N
anti-IL-8 receptor antibody|anti-IL-4 receptor alpha antibody|N
anti-IL13 antibody|anti-IL 6R antibody|N
cluster of differentiation 154|cluster of differentiation antigen 37|N
phosphatidylinositol 3-phosphate|phosphatidylinositol biphosphate|N
a disintegrin and metalloproteinase with thrombospondin motifs-12|a disintegrin-like and metalloproteinase with thrombospondin type1 motif 13 inhibitor|N
perchloroethylene|trichloroethene|N
motorcortex|pre-motor cortex|N
quantitative structure permeability relationship|quantitative structure property relationship|Y
cytochrome P-4501A|cytochome P4507B1|N
estrogen receptor protein|estrogen receptor positivity|N
human Mut-L homolog 1|human mut-L homolog 1|Y
interleukin 2 receptor γ chain|interleukine-13 receptor alpha1 chain|N
anti-human immunodeficiency virus agent|anti-human immunodeficiency virus-1 effect|N
American Society of Anesthesiologists status V|American Society of Anaesthesiologists status 5|Y
pre-axial polydactyly type IV|post-axial polydactyly type A|N
ribosomal protein S14|ribosomal protein S2|N
neuro-muscular blocking|neuro-muscular blocker|Y
xeroderma pigmentosum|xeroderma pigmentosum group A|N
protein kinase G1 α|protein kinase G-1α|Y
T-cell receptor-α|T cell receptor-γ|N
β-amyloid precursor protein cleaving enzyme 2|beta-site amyloid precursor protein-cleaving enzyme-1|N
hexamethylpropyleneamineoxime|99mTc-hexamethylpropyleneamineoxime|Y
interleukin 4 receptor-α|interleukin 1 receptor 1|N
peroxisome proliferator-activated receptor-γ-2|peroxisome proliferator-activated receptor-alpha|N
transforming growth factor beta receptor II|transforming growth factor-beta receptor-II|Y
matrix-assisted laser desorption/ionization mass spectrometry|matrix-assisted laser desorption/ionization time-of-flight mass spectrometric|N
ischemic|ischemia|Y
ribosomal protein S24|ribosomal protein L14|N
recombinant murine interleukin 14|recombinant human interleukin 1β|N
monocyte chemotactic activity|monocyte chemotactic protein|N
IL-18 receptor α|IL-2 receptor α|N
UM squamous cell carcinoma-14A|oral squamous cell carcinoma|N
transforming growth factor-beta-induced gene|transforming growth factor-beta 4|N
American Society of Anesthesiologists status 4|American Society of Anesthesiologists Grade I|N
intracellular calcium concentration|extracellular calcium concentrations|N
transient receptor potential vanilloid 2|transient receptor potential vanilloid type 2|Y
microtubule-associated protein 2c|microtubule-associated protein 4|N
American Society of Anesthesiologists grade IV|American Society of Anesthesiology status 5|N
A disintegrin and metalloproteinase-29|A disintegrin and metalloproteinase 13|N
cluster of differentiation antigen 5|cluster of differentiation 4|N
electrothermal atomic absorption spectrophotometry|atomic absorption spectro-photometry|N
a disintegrin and metalloproteinase-15|A disintegrin and metalloproteinase 11|N
carcinoma associated antigen|mucin-like carcinoma-associated antigen|N
trypsin-like immunoreactivity|neurotensin-like immunoreactivity|N
IL-5 receptor-α|IL-4 receptor-α|N
recombinant human interleukin 1alpha|recombinant human interferon-alpha-A/D|N
American Society of Anaesthesiology grade III|American Society of Anaesthesiology physical status III|Y
cysteine-cysteine chemokine ligand 22|cysteine-cysteine chemokine ligand 7|N
interleukin 2 receptor α-subunit|interleukin-13 receptor alpha 1-subunit|N
apolipoprotein A|apolipoprotein J|N
ribosomal protein L6|ribosomal protein L23A|N
epoxy-eicosatrienoic acid|hydroxyeicosatrienoic acid|N
duodeno-gastro-oesophageal reflux|gastroesophageal reflux|N
antiinterleukin 12 antibody|anti-interleukin-2 antibody|N
interferon-stimulated gene factor 3α|interferon stimulated gene factor-3alpha|Y
sodium-glucose co-transporter 2|sodium-glucose co-transporter 3|N
American Society of Anesthesiologists status II|American Society of Anaesthesiologists grade II|Y
microtubule-associated protein-5|microtubule-associated protein 4|N
TATA-binding protein-associated factor-5|TATA-binding protein associated factor-10|N
IL-5 receptor alpha-chain|IL7 receptor alpha chain|N
sex-determining region Y box 3|sex determining region Y, box 8|N
alanine aminotransferase|alanine aminotransferase activity|N
computed tomograpy|computerized tomogram|Y
human adenovirus 41|human adenovirus type 12|N
gonadotrophin releasing hormone|gonadotropin-releasing hormone analogs|N
guanylyl cyclase-activating protein|guanylate cyclase-activating protein-2|N
cranial radiation therapy|conformal radiation therapy|N
receptor protein tyrosine phosphatase κ|receptor-type protein-tyrosine phosphatase β|N
solute carrier family 7 member 5|solute carrier family 7 member 1|N
randomly amplified polymorphic DNA-analysis|randomly amplified polymorphic DNA primer|N
American Society of Anaesthesiology Class I|American Society of Anesthesiology Class 4|N
American Society of Anesthesiologists class 2|American Society of Anaesthesiologists grade 3|N
X-linked hypophosphataemic rickets|X-linked hypophosphataemia|N
Giemsa-trypsin-Giemsa banding|Giemsa-trypsin-Giemsa-banding|Y
transforming growth factor-beta 1 level|transforming growth factor β 4|N
human adenovirus type 25|human adenovirus serotype 35|N
beta amyloid precursor protein cleaving enzyme 1|beta-site amyloid precursor protein-cleaving enzyme-1|Y
anti-human T cell lymphotropic virus type-1 antibody|anti-human T cell lymphotrophic virus-I antibody|Y
maximal electroshock-induced seizures|maximal electroshock induced seizure|Y
CSF1 receptor|KISS1 receptor|N
peroxisome proliferator-activated receptor gamma1|peroxisome-proliferator-activated receptor γ coactivator 1α|N
resuscitation promoting factor|nucleation promoting factor|N
a disintegrin and metalloprotease-12|a disintegrin and metalloproteinase-28|N
matrix-assisted laser desorption ionisation time-of-flight mass spectrometry|laser desorption ionization time of flight mass spectrometry|N
subcortical laminar heterotopia|subcortical band heterotopia|Y
interferon-α-2b-induced|interferon alfa-2b-induced|Y
Lectin-like oxidized low-density lipoprotein receptor-1|oxidised low density lipoprotein receptor 1|Y
inosine 5'-monophosphate|adenosine 5'-phosphate|N
human adenovirus C|human adenovirus type 45|N
beta-APP-cleaving enzyme-1|β-APP cleaving enzyme|N
pegylated interferon alpha-2b|pegylated interferon α-2b|Y
Rigid gas permeable|rigid gas-permeable|Y
American Society of Anesthesiologists grade IV|American Society of Anaesthesiologists Class V|N
human adenovirus 17|human adenovirus 28|N
β-site amyloid precursor protein cleaving enzyme-2|beta amyloid precursor protein cleaving enzyme-1|N
Mitogen-activated protein kinase kinase 1|mitogen-activated protein kinases|N
insulin-like growth factor-1-treated|insulin-like growth factor-1-mediated|N
low density lipo-protein|high-density lipo-protein|N
tyrosine kinase genes|thymidine kinase gene|N
transmissible gastroenteritis|transmissible gastroenteritis coronavirus|N
type 2 NADH dehydrogenase|type 1 NADPH dehydrogenase|N
Src homology-2 domain-containing protein tyrosine phosphatase|Src homology 2 domain containing protein tyrosine phosphatase substrate-1|N
cervical intraepithelial neoplasia|intra-epithelial neoplasia|N
respiratory care|respiratory care unit|N
glycosamino-glycan polysulphuric acid|glycosamino-glycan polysulphate|N
peroxisome proliferator-activated receptor γ coactivator 1 α|peroxisome proliferator-activated receptor γ coactivator-1|N
corticotrophin-releasing-hormone receptor-2|corticotrophin-releasing hormone receptor 1|N
atrioventricular block|atrioventricular bundle|N
late activation antigens|very late activation antigen 4|N
maximum serum concentrations|maximum urinary concentration|N
glycoprotein|β2-glycoprotein I|N
cytochrome P450 3A4|cytochrome P450 1B1|N
IL-3 receptor-alpha|IL2 receptor alpha|N
Toll-like receptor-4|toll-like receptor 8|N
testicular-feminized male mouse|testicular-feminised mouse|Y
American Society of Anesthesiology class 3|American Society of Anaesthesiologists status I|N
extracellular signal-regulated kinase-1/2|Extracellular signal-regulated protein kinases|N
a disintegrin and metalloprotease 4|a disintegrin and metalloproteinase 4|Y
TBP associated factor 10|TBP associated factor 11|N
p110γ PI-3 kinase|p110γ PI3-kinase|Y
human adenovirus 9|human adenovirus type 49|N
anti-IL8 antibody|anti-IL 6R antibody|N
thyrotropin-releasing hormone receptor-1|type 2 corticotrophin releasing hormone receptor|N
American Society of Anesthesiology Class 3|American Society of Anesthesiology Class III|Y
oro-facio-digital syndrome type II|oro-faciodigital syndrome|N
T cell receptor-α/β|T cell receptor α|N
neural-precursor-cell-expressed developmentally downregulated 9|neural precursor cell-expressed developmentally down-regulated 2|N
methylmalonicaciduria|methylmalonic acid|N
diabetic neuropathy|diabetic retinopathy|N
Gardnerella vaginalis|gardnerella vaginialis|Y
augmented correlation-consistent polarized valence triple-ζ basis set|augmented correlation consistent polarised valence double ζ basis set|N
human tumor necrosis factor beta|human tumour necrosis factor-α|N
C-terminal trans-activation domain|carboxy terminal trans-activation domain|Y
ras-related GTP-binding protein 14|ras-related GTP-binding protein 23|N
peroxisome-proliferator-activated receptor-β|peroxisome proliferator-activated receptor gamma 1|N
