"abr","long_form"
"VPI","Velopharyngeal insufficiency"
"V/Q","ventilation/perfusion scan"
"VRE","vancomycin-resistant enterococcus"
"VRSA","vancomycin-resistant Staphylococcus aureus"
"VS","vital signs"
"VS","versus"
"VSD","ventricular septal defect"
"VSR","ventricular septal rupture"
"VSS","vital signs stable"
"VT","ventricular tachycardia"
"VT","verotoxin"
"VTE","venous thromboembolism"
"VTEC","verotoxin-producing Escherichia coli"
"VUR","vesicoureteral reflux"
"VWD","ventral wall defect"
"VWD","Von Willebrand disease"
"VWF","Von Willebrand factor"
"VZIG","varicella zoster immune globulin"
"VZV","varicella zoster virus"
"WAIS-R","Wechsler adult intelligence scale revised"
"WAP","wandering atrial pacemaker"
"WAS","Wiskott–Aldrich syndrome"
"WASP","Wiskott–Aldrich syndrome protein"
"WAT","white adipose tissue"
"WBAT","weight bearing as tolerated"
"WBC","white blood cell"
"WBC","white blood cell count"
"WBI","whole bowel irrigation"
"WBRT","whole-brain radiotherapy treatment"
"WC","white cells"
"WC","wheelchair"
"WC","water closet"
"W/C","wheelchair"
"WD","well developed"
"WDL","within defined limits"
"WH","well hydrated"
"WDWN","well developed and well nourished"
"WEE","Western equine encephalitis virus"
"WG","Wegener's granulomatosis"
"WISC-R","Wechsler intelligence scale for children revised"
"WLE","Wide local excision"
"WN","well nourished"
"WNL","within normal limits"
"WNL","we never looked"
"W/O","without"
"w/o","without"
"WOI","without incident"
"WPW","Wolff–Parkinson–White syndrome"
"WS","Waardenburg syndrome"
"WS","Warkany syndrome"
"WS","water-soluble"
"WS","Werner syndrome"
"WS","West syndrome"
"WS","Williams syndrome"
"WS","Wolfram syndrome"
"wt","weight"
"w/u","Workup"
"WWI","walking while intoxicated"
"WWI","World War I"
"X-AFP","extended alpha-fetoprotein"
"XR","extended release"
"XR","x-ray"
"XRT","radiotherapy used in cancer treatment"
"y","year(s)"
"YO","years old"
"yo","years old"
"y/o","years old"
"YPLL","years of potential life lost"
"YST","yolk sac tumor"
"yr","year(s)"
"ZD","zinc deficiency"
"ZDV","zidovudine"
"ZES","Zollinger–Ellison syndrome"
"ZIFT","zygote intrafallopian transfer"
"ZMC","Zygomatico-Maxillary Complex"
"Zn","zinc"
