abr,long_form,long_form_raw
Hx,history,[[Medical history|history (of)]]
IA,intra-arterial,[[Parenteral medication|intra-arterial]]
IAA,insulin autoantibody,insulin autoantibody
IABP,intra-aortic balloon pump,[[intra-aortic balloon pump]]
IAI,intra-amniotic infection,[[intra-amniotic infection]]
IBC,inflammatory breast cancer,[[inflammatory breast cancer]]
IBD,inflammatory bowel disease,[[inflammatory bowel disease]]
IBS,irritable bowel syndrome,[[irritable bowel syndrome]]
IC,ileocecal,[[ileocecal]] 
IC,immunocompromised, [[Immunodeficiency|immunocompromised]] 
IC,informed consent, [[informed consent]] 
IC,intensive care, [[Intensive care medicine|intensive care]] 
IC,interstitial cystitis, [[interstitial cystitis]] 
IC,immune complex, [[immune complex]] 
IC,intracardiac, [[intracardiac]]
ICD,implantable cardioverter-defibrillator,[[implantable cardioverter-defibrillator]]
ICDS,Integrated Child Development Services Program,[[Integrated Child Development Services]] Program
ICD-10,"International Classification of Diseases, 10th Revision","[[ICD|International Classification of Diseases]], 10th Revision"
ICF,intracellular fluid,[[Cytosol|intracellular fluid]]
ICG,impedance cardiography,[[impedance cardiography]]
ICH,intracerebral hemorrhage,[[intracerebral hemorrhage]]
ICM,ischemic cardiomyopathy,ischemic [[cardiomyopathy]]
ICP,intracranial pressure,[[intracranial pressure]]
ICS,intercostal space,[[intercostal space]] 
ICS,inhaled corticosteroids, inhaled corticosteroids 
ICS,internal carotid stenosis, [[internal carotid stenosis]]
ICSI,intracytoplasmic sperm injection,intracytoplasmic sperm injection
ICU,intensive care unit,[[intensive care unit]]
ICCU,intensive cardiac care unit,intensive cardiac care unit
ID,infectious disease,[[infectious disease]] 
ID,identifying data, [[Recognition of human individuals|identifying data]]
I&D,incision and drainage,[[Lancing (surgical procedure)|incision and drainage]] (how to treat an abscess)
IDA,iron deficiency anemia,[[iron deficiency anemia]]
IDC,idiopathic dilated cardiomyopathy,[[Dilated cardiomyopathy|idiopathic dilated cardiomyopathy]] 
IDC,indwelling catheter, [[Catheter|indwelling catheter]] 
IDC,infiltrating ductal carcinoma, infiltrating [[ductal carcinoma]]
IDDM,insulin-dependent diabetes mellitus,insulin-dependent diabetes mellitus (now called [[diabetes mellitus type 1]])
IDL,intermediate-density lipoprotein,[[intermediate-density lipoprotein]]
IDP,infectious disease precautions,[[infectious disease precautions]]
IE,infective endocarditis,[[infective endocarditis]]
IF,immunofluorescence,[[immunofluorescence]]
IFG,impaired fasting glycaemia,[[impaired fasting glycaemia]]
Ig,immunoglobulin,[[immunoglobulin]]
IgA,immunoglobulin A,[[immunoglobulin A]]
IgAV,IgA vasculitis,[[IgA vasculitis]] (formerly known as Henoch-Schönlein purpura)
IgD,immunoglobulin D,[[immunoglobulin D]]
IgE,immunoglobulin E,[[immunoglobulin E]]
IGF,insulin-like growth factor,insulin-like growth factor
IgG,immunoglobulin G,[[immunoglobulin G]]
IgG4-RD,IgG4-related disease,[[IgG4-related disease]]
IgG4-RKD,IgG4-related kidney disease,IgG4-related kidney disease
IgG4-ROD,IgG4-related ophthalmic disease,[[IgG4-related ophthalmic disease]]
IgG4-TIN,IgG4-related tubulointerstitial nephritis,IgG4-related tubulointerstitial nephritis
IgM,immunoglobulin M,[[immunoglobulin M]]
IGT,impaired glucose tolerance,[[impaired glucose tolerance]]
IHC,immunohistochemistry,[[immunohistochemistry]]
IHD,ischaemic heart disease,[[ischaemic heart disease]]
IHPS,infantile hypertrophic pyloric stenosis,infantile hypertrophic pyloric stenosis
IHSS,ideopathic hypertrophic subaortic stenosis,ideopathic hypertrophic subaortic stenosis ([[hypertrophic cardiomyopathy]])
IIEF,International Index of Erectile Function,[[Sexological_testing#IIEF_.28International_Index_of_Erectile_Function.29|International Index of Erectile Function]]
ILD,interstitial lung disease,interstitial lung disease
IM,intramuscular,[[intramuscular]]
IMA,inferior mesenteric artery,[[inferior mesenteric artery]]
IMB,intermenstrual bleed (bleeding between periods),intermenstrual bleed (bleeding between periods)
IMI,intramuscular injection,[[intramuscular injection]]
IMM,intramyometrial,intramyometrial
IMN,infectious mononucleosis,[[infectious mononucleosis]]
IMRT,intensity-modulated radiotherapy,intensity-modulated radiotherapy
IMT,inflammatory myofibroblastic tumor,inflammatory myofibroblastic tumor 
IMT,intima-media thickness, [[intima-media thickness]]
IMV,intermittent mandatory ventilation,intermittent mandatory ventilation (see [[mechanical ventilation]])
Inc,incomplete,incomplete
INF(-α/-β/-γ),interferons -α/-β/-γ,[[Interferon|interferons -α/-β/-γ]]
INH,inhaled,[[inhaled]]
Inj,injection,[[Injection (medicine)|injection]]
INR,international normalized ratio,[[international normalized ratio]]
Int,internal,internal
INT,intermittent needle therapy,intermittent needle therapy
IO,intraosseous infusion,[[intraosseous infusion]]
I&O,inputs and outputs,[[Input_and_output_(medicine)|inputs and outputs]] 
I&O,intake and outputs, intake and outputs
IODM,infant of diabetic mother,infant of diabetic mother
IOL,induction of labor,[[Induction (birth)|induction of labor]] 
IOL,intraocular lens, [[intraocular lens]]
IOP,intra-orifice pressure,[[intra-orifice pressure]]
IP,interphalangeal joint,[[interphalangeal articulations of hand|interphalangeal joint]]
IPF,idiopathic pulmonary fibrosis,[[idiopathic pulmonary fibrosis]]
IPG,Implantable Pulse Generator,[[Spinal cord stimulator|Implantable Pulse Generator]]
IPH,intraparenchymal hemorrhage or intraperitoneal hemorrhage or idiopathic pulmonary hemosiderosis,intraparenchymal hemorrhage or intraperitoneal hemorrhage or idiopathic pulmonary hemosiderosis
IPMN,Intraductal papillary mucinous neoplasm,[[Intraductal papillary mucinous neoplasm]]
IPPB,intermittent positive pressure breathing,intermittent positive pressure breathing (see [[mechanical ventilation]])
IPPV,intermittent positive pressure ventilation,intermittent positive pressure ventilation (see [[mechanical ventilation]])
IPS,intraperitoneal sounds,intraperitoneal sounds
IQ,intelligence quotient,[[intelligence quotient]]
IR,insulin resistance,[[insulin resistance]]
IRDS,infant respiratory distress syndrome,[[infant respiratory distress syndrome]]
IRIDA,inherited iron-refractory iron deficiency anemia,[[inherited iron-refractory iron deficiency anemia]]
IRIS,Immune reconstitution inflammatory syndrome,[[Immune reconstitution inflammatory syndrome]]
IS,Incentive Spirometry,[[Incentive Spirometry]]
ISA,intrinsic sympathomimetic activity,[[intrinsic sympathomimetic activity]]
ISDN,isosorbide dinitrate,[[isosorbide dinitrate]]
ISH,isolated systolic hypertension,[[isolated systolic hypertension]]
ISMN,isosorbide mononitrate,[[isosorbide mononitrate]]
ISQ,no change,"no change (''from [[Latin]], in status quo'')"
IT,immature teratoma,immature teratoma 
IT,intrathecal, [[intrathecal]]
ITP,idiopathic thrombocytopenic purpura,[[idiopathic thrombocytopenic purpura]] 
ITP,immune-mediated thrombocytopenic purpura, immune-mediated thrombocytopenic purpura
ITU,intensive treatment unit,[[Intensive care medicine|intensive treatment unit]] (or intensive therapy unit)
IUCD,intrauterine contraceptive device,[[Intrauterine device|intrauterine contraceptive device]]
IU,international units,[[international unit]]s
IUD,intrauterine death—sometimes confused with intrauterine contraceptive device—use FDIU or IUFD instead.,[[Stillbirth|intrauterine death]]—sometimes confused with intrauterine contraceptive device—use FDIU or IUFD instead. 
IUD,intrauterine device—sometimes confused with intrauterine death—use IUCD instead, [[intrauterine device]]—sometimes confused with intrauterine death—use IUCD instead ([[Intrauterine device|intrauterine contraceptive device]])
IUFD,intrauterine foetal demise,[[Stillbirth|intrauterine foetal demise]]
IUGR,intrauterine growth restriction,[[intrauterine growth restriction]]
IUI,intrauterine insemination,[[intrauterine insemination]]
IUP,intrauterine pregnancy,intrauterine [[pregnancy]]
IUPC,intrauterine pressure catheter,intrauterine pressure catheter
IUS,intrauterine system,[[intrauterine system]]
IUT,intrauterine transfusion,intrauterine transfusion
IV,intravenous,[[intravenous]]
IVC,inferior vena cava,[[inferior vena cava]]
IVD,Intervertebral disc,[[Intervertebral disc]]
IV-DSA,intravenous digital subtraction angiography,[[Angiography|intravenous digital subtraction angiography]]
IVDU,intravenous drug user,[[drug abuse|intravenous drug user]]
IVF,in vitro fertilization;,[[in vitro fertilization]]; 
IVF,intravenous fluids, [[Intravenous therapy|intravenous fluids]]
IVH,interventricular hemorrhage,interventricular hemorrhage
IVP,intravenous pyelogram,[[intravenous pyelogram]]
IVPB,intravenous piggyback,[[Intravenous therapy#Infusion equipment|intravenous piggyback]] (i.v. short-term infusion)
IVPG,Intravenous pyogenic granuloma,[[Intravenous pyogenic granuloma]]
IVU,intravenous urogram,[[Intravenous pyelogram|intravenous urogram]]
IVUS,intravascular ultrasound,[[intravascular ultrasound]]
Ix,Investigation,[[Medical test|Investigation(s)]]
JCV,JC virus,[[JC virus]] (named after the initials of an anonymous patient)
JEV,Japanese encephalitis virus,Japanese encephalitis virus
JIA,juvenile idiopathic arthritis,[[juvenile idiopathic arthritis]]
JMS,"junior medical student, aka MS-3","junior medical student, aka MS-3"
JODM,juvenile-onset diabetes mellitus,juvenile-onset [[diabetes mellitus]]
JP,Jackson-Pratt {drain},Jackson-Pratt {drain}
JRA,juvenile rheumatoid arthritis,juvenile rheumatoid arthritis (now called [[juvenile idiopathic arthritis]])
JVD,jugular venous distension,[[jugular venous pressure#Interpretation|jugular venous distension]]
JVP,jugular venous pressure,[[jugular venous pressure]]
K,potassium,[[potassium]] (from Latin ''kalium'')
Kcal,kilocalorie;,[[kilocalorie]]; 
Kcal,calorie, [[calorie]]
KCCT,kaolin cephalin clotting time,kaolin cephalin clotting time (see [[Partial thromboplastin time]])
KELS,Kohlman Evaluation of Living Skills,Kohlman Evaluation of Living Skills
kg,kilogram,[[kilogram]]
KIV,keep in view,keep in view
KLS,"kidney, liver, spleen","kidney, liver, spleen"
KOH,potassium hydroxide,potassium hydroxide
KS,Kaposi's sarcoma;,[[Kaposi's sarcoma]]; 
KS,Kartagener syndrome, [[Primary ciliary dyskinesia|Kartagener syndrome]]
KSHV,Kaposi's sarcoma-associated herpesvirus,[[Kaposi's sarcoma-associated herpesvirus]]
KUB,"kidneys, ureters, and bladder","[[kidneys, ureters, and bladder]] (x-ray)"
KVO,keep vein open (with slow infusion),keep vein open (with slow infusion)
L,leukocytes,[[leukocyte]]s 
L,lumbar vertebrae, [[lumbar vertebrae]] (L1 to L5)
L&D,labor and delivery,[[childbirth|labor and delivery]]
LA,left atrium,[[left atrium]] 
LA,lymphadenopathy, [[lymphadenopathy]] 
LA,local anesthetic, [[local anesthetic]]
LAAM,L-alpha-acetylmethadol,L-alpha-[[acetylmethadol]]
Lab,laboratory,"[[laboratory]] (in [[health care]], usually referring to [[clinical laboratory]])"
LABA,long-acting beta agonist,[[long-acting beta agonist]]
LABBB,left anterior bundle branch block,[[heart block|left anterior bundle branch block]]
Lac,laceration,[[laceration]] 
Lac,lactate, [[Lactic acid|lactate]]
LAD,left anterior descending,[[left coronary artery|left anterior descending]] (a [[Coronary circulation|coronary artery]]) 
LAD,leukocyte adhesion deficiency, [[leukocyte adhesion deficiency]] 
LAD,left axis deviation, [[left axis deviation]] (see [[electrocardiogram]]) 
LAD,lymphadenopathy, [[lymphadenopathy]]
LAE,left atrial enlargement,[[left atrial enlargement]]
LAH,left anterior hemiblock,[[left anterior hemiblock]]
LAHB,left anterior hemiblock,[[left anterior hemiblock]]
Lam,laminectomy,[[laminectomy]]
LAP,leukocyte alkaline phosphatase,[[leukocyte alkaline phosphatase]]
Lap,laparotomy,[[laparotomy]]
Lap appy,laparoscopic appendectomy,laparoscopic [[appendectomy]]
LAR,low anterior resection,[[resection (surgery)|low anterior resection]]
LARP,"left → anterior, right → posterior","left → anterior, right → posterior (path of the [[Vagus nerve|vagi]] as they wander from thorax to abdomen)"
LAS,lymphadenopathy syndrome,[[lymphadenopathy syndrome]]
Lat,lateral,[[anatomical terms of location#Medial and lateral|lateral]]
lb,pound or pounds,[[pound (mass)|pound]] or pounds (mass)
LB,pound or pounds,[[pound (mass)|pound]] or pounds (mass)
LBBB,left bundle branch block,[[left bundle branch block]]
LBO,large bowel obstruction,[[bowel obstruction|large bowel obstruction]]
LBP,low back pain,[[low back pain]]
LBW,low birth weight,[[low birth weight]]
LCA,left coronary artery,[[left coronary artery]]
LCHAD,long-chain 3-hydroxyacyl-coenzyme A dehydrogenase,long-chain 3-hydroxyacyl-coenzyme A dehydrogenase
LCIS,lobular carcinoma in situ,[[lobular carcinoma in situ]]
LCM,lymphocytic meningitis,[[lymphocytic meningitis]]
LCMV,lymphocytic choriomeningitis virus,[[lymphocytic choriomeningitis virus]]
LCP,Liverpool Care Pathway for the Dying Patient,[[Liverpool Care Pathway for the Dying Patient]]
LCPD,Legg–Calvé–Perthes disease,[[Legg–Calvé–Perthes disease]]
LCV,leukocytoclastic vasculitis,[[leukocytoclastic vasculitis]]
LCX,left circumflex artery,[[circumflex branch of left coronary artery|left circumflex artery]]
L&D,labor and delivery,[[childbirth|labor and delivery]]
LDH,lactate dehydrogenase,[[lactate dehydrogenase]]
LDL,low-density lipoprotein,[[low-density lipoprotein]]
LDL-C,low-density lipoprotein cholesterol,[[low-density lipoprotein|low-density lipoprotein cholesterol]]
L-DOPA,levo-dihydroxyphenylalanine,[[L-DOPA|levo-dihydroxyphenylalanine]]
LEC,lupus erythematosus cell,[[lupus erythematosus]] cell
LEEP,loop electrical excision procedure,[[loop electrical excision procedure]]
LES,lower esophageal sphincter,[[lower esophageal sphincter]] 
LES,lupus erythematosus systemicus, [[Lupus Erythematosus|lupus erythematosus systemicus]]
LE,lupus erythematosus,[[lupus erythematosus]] 
LE,lower extremity, lower extremity ([[human leg]])
leu,leukocytes,[[leukocyte]]s
LFT,liver function test,[[liver function test]]
LGA,large for gestational age,[[large for gestational age]]
LGL,Lown–Ganong–Levine syndrome,[[Lown–Ganong–Levine syndrome]]
LGM,lymphogranulomatosis maligna,lymphogranulomatosis maligna
LGSIL,low-grade squamous intraepithelial lesion,[[Bethesda system|low-grade squamous intraepithelial lesion]]
LGV,lymphogranuloma venereum,[[lymphogranuloma venereum]]
LH,luteinizing hormone,[[luteinizing hormone]] 
LH,lightheadedness, [[lightheadedness]]
LHC,left heart catheterization,[[cardiac catheterization|left heart catheterization]]
LHRH,luteinizing hormone–releasing hormone,[[gonadotropin-releasing hormone|luteinizing hormone–releasing hormone]]
Lig,ligament,[[ligament]]
LIH,left inguinal hernia,left [[inguinal hernia]]
LLD,leg length discrepancy,[[leg length discrepancy]]
LLE,left lower extremity,left lower [[limb (anatomy)|extremity]]
LLETZ,large loop excision of the transformation zone,[[Loop electrical excision procedure|large loop excision of the transformation zone]]
LLL,left lower lobe,left lower lobe
LLQ,left lower quadrant,[[quadrant (abdomen)|left lower quadrant]]
LM,left main,left main
LMA,left mentoanterior,left mentoanterior ([[fetal position]]) 
LMA,laryngeal mask airway, laryngeal mask airway
LMCA,left main coronary artery,[[Left coronary artery|left main coronary artery]]
LMD,local medical doctor,local [[physician|medical doctor]]
LMP,last menstrual period first day of the menstrual period,[[Pregnancy#Determining the beginning of pregnancy and predicting date of birth|last menstrual period]]—first day of the [[menstrual]] period 
LMP,low malignant potential, low malignant potential
LMWH,low-molecular-weight heparin,[[low molecular weight heparin|low-molecular-weight heparin]]
LN,lymph node,[[lymph node]]
LND,lymph node dissection,[[lymph node dissection]]
LNG,levonorgestrel,[[levonorgestrel]]
LNI,lymph node involvement,[[TNM staging system#N|lymph node involvement]]
LOA,left occipitoanterior,left occipitoanterior ([[fetal position]]) 
LOA,lysis of adhesions, lysis of adhesions
LOC,loss of consciousness,[[unconsciousness|loss of consciousness]] 
LOC,level of consciousness," [[level of consciousness]] (e.g., ""altered LOC from head trauma"")"
LOF,leakage of fluid,leakage of fluid
LOH,loss of heterozygosity,[[loss of heterozygosity]]
LOI,loss of imprinting,loss of imprinting
LOL,little old lady,little old lady (often LOL in NAD—see [[The House of God#Context and impact|House of God]])
LOM,limitation of motion,limitation of motion
LOP,left occiput posterior,left occiput posterior ([[fetal position]])
LORTA,loss of resistance to air,"loss of resistance to air (in anesthesiology; when placing epidural, LORTA indicates entrance of needle to [[epidural space]])"
LOS,length of stay,[[length of stay]]
Lot,lotion,[[lotion]]
LOT,left occiput transverse,left occiput transverse ([[fetal position]])
Lp,lipoprotein,[[lipoprotein]]
LP,lumbar puncture,[[lumbar puncture]]
LPH,left posterior hemiblock,left posterior hemiblock (see [[heart block]])
LPL,lipoprotein lipase,[[lipoprotein lipase]]
LPP,lichen planopilaris,[[lichen planopilaris]]
LQTS,long QT syndrome,[[long QT syndrome]]
L/S,lecithin-to-sphingomyelin ratio,[[lecithin]]-to-[[sphingomyelin]] ratio
LS,lichen sclerosus,[[lichen sclerosus]] 
LS,Lynch syndrome, [[Lynch syndrome]]
LSA,lichen sclerosis et atrophicus,[[lichen sclerosis et atrophicus]]
LSB,left sternal border,left sternal border
LSIL,low-grade squamous intraepithelial lesion,[[Bethesda system|low-grade squamous intraepithelial lesion]]
LST,laterally spreading tumor,[[colorectal cancer|laterally spreading tumor]]
LR,lactated Ringer's solution,[[lactated Ringer's solution]]
LRINEC,Laboratory Risk Indicator for Necrotizing Soft Tissue Infections Score,Laboratory Risk Indicator for Necrotizing Soft Tissue Infections Score
LRTI,lower respiratory tract infection,[[lower respiratory tract infection]]
LSCTA,lung sounds clear to auscultation,lung sounds clear to [[auscultation]]
LT,heat-labile enterotoxin,[[heat-labile enterotoxin]]
LTAC,long-term acute care,long-term [[acute care]]
LTCS,low transverse cesarean section,low transverse [[cesarean section]]
LUL,left upper lobe,left upper lobe (of [[lung]])
LUQ,left upper quadrant,[[Human abdomen#Regions of the abdomen|left upper quadrant]] (of abdomen)
LUS,lower uterine segment,lower uterine segment
LUTS,lower urinary tract symptoms,[[lower urinary tract symptoms]]
LV,left ventricle,[[left ventricle]]
LVAD,left ventricular assist device,left [[ventricular assist device]]
LVEDP,left ventricular end diastolic pressure,[[left ventricular end diastolic pressure]]
LVEF,left ventricular ejection fraction,[[left ventricular ejection fraction]]
LVF,left ventricular failure,[[left ventricular failure]]
LVH,left ventricular hypertrophy,[[left ventricular hypertrophy]]
LVOT,left ventricular outflow tract,[[left ventricular outflow tract]]
LVP,Large volume paracentesis,Large volume [[paracentesis]]
LWBS,left without being seen,[[left without being seen]]
Lx of ch,laxative of choice,[[laxative]] of choice
Ly,lymphocytes,[[lymphocyte]]s
lytes,electrolytes,[[electrolyte]]s
M,murmur,murmur ([[heart murmur]])
MACE,Major Adverse Cardiovascular Events,Major Adverse Cardiovascular Events
MAC,Mycobacterium avium complex,Mycobacterium avium complex
MAE,moves all extremities,moves all extremities
MAHA,microangiopathic hemolytic anemia,[[microangiopathic hemolytic anemia]]
MAL,midaxillary line,[[Anatomical terms of location#Surface and other landmarks in humans|midaxillary line]]
MALT,mucosa-associated lymphoid tissue,[[mucosa-associated lymphoid tissue]]
MAOI,monoamine oxidase inhibitor,[[monoamine oxidase inhibitor]]
Mφ,macrophage,[[macrophage]]
MAP,mean arterial pressure,[[mean arterial pressure]]
MAR,Medication Administration Record,[[Medication Administration Record]]
MARSA,methicillin- and aminoglycoside-resistant Staphylococcus aureus,[[Methicillin-resistant Staphylococcus aureus|methicillin- and aminoglycoside-resistant ''Staphylococcus aureus'']]
MAS,Morgagni–Adams–Stokes syndrome,[[Adams–Stokes syndrome|Morgagni–Adams–Stokes syndrome]] 
MAS,meconium aspiration syndrome, meconium aspiration syndrome
MAST,Michigan alcohol screening test,Michigan alcohol screening test
MAT,multifocal atrial tachycardia,[[multifocal atrial tachycardia]] 
MAT,microscopic agglutination test, microscopic [[Agglutination (biology)|agglutination]] test
MBSS,modified barium swallow study,modified [[barium swallow]] study
MC,metacarpal bone,[[Metacarpus|metacarpal]] bone
MCA,mucinous cystadenoma,mucinous cystadenoma
MCAT,Medical College Admission Test,[[Medical College Admission Test]]
MCD,minimal change disease,[[minimal change disease]]
MCP,metacarpophalangeal joint,[[metacarpophalangeal joint]]
MCHC,mean corpuscular hemoglobin concentration,[[mean corpuscular hemoglobin concentration]]
MCH,mean cell hemoglobin;,[[mean cell hemoglobin]]; 
MCH,mean corpuscular hemoglobin, [[mean corpuscular hemoglobin]]
MC&S,"microscopy, culture, and sensitivity","[[microscopy]], [[Microbiological culture|culture]], and sensitivity (the investigation steps in processing microbiology samples)"
MCTD,mixed connective tissue disease,mixed connective tissue disease
MCV,mean corpuscular volume,[[mean corpuscular volume]]
MDCT,multidetector row computerized tomography,multidetector row computerized tomography
MDD,major depressive disorder,[[Clinical depression|major depressive disorder]]
MDE,major depressive episode,[[major depressive episode]]
MDI,metered dose inhaler,metered dose inhaler
MDS,myelodysplastic syndrome,[[myelodysplastic syndrome]]
ME,UK: Myalgic Encephalopathy ( = Chronic Fatigue Syndrome or “CFS”),UK: Myalgic Encephalopathy ( = Chronic Fatigue Syndrome or “CFS”)
M/E,microscopic examination,[[Microscopy|microscopic]] examination
MEC,Moderate emetic chemotherapy,[[Moderate emetic chemotherapy]]
MEDLINE,Medical Literature Analysis and Retrieval System Online,[[MEDLINE|Medical Literature Analysis and Retrieval System Online]] (U.S. National Library of Medicine)
MEN,multiple endocrine neoplasia,[[multiple endocrine neoplasia]]
MeSH,Medical Subject Headings,[[Medical Subject Headings]] (U.S. National Library of Medicine)
MET,metabolic equivalent,[[metabolic equivalent]]
met,metastasis,[[metastasis]] (pronounced like the word ''met''; plural ''mets'')
MFM,maternal and fetal medicine,maternal and fetal medicine
Mg,magnesium,[[magnesium]]
MG,myasthenia gravis,[[myasthenia gravis]]
MGN,membranous glomerulonephritis,[[membranous glomerulonephritis]]
MGUS,monoclonal gammopathy of undetermined significance,[[monoclonal gammopathy of undetermined significance]] (''unknown'' or ''uncertain'' may be substituted for ''undetermined'')
MHA-TP,microhemagglutination assay for ''T. pallidum'',microhemagglutination assay for ''T. pallidum''
MHW,Mental Health Worker,Mental Health Worker
MI,myocardial infarction,[[myocardial infarction]]
MIC,minimum inhibitory concentration,[[minimum inhibitory concentration]]
MICU,mobile intensive care unit / medical intensive care unit,mobile intensive care unit / medical intensive care unit
MIF,Müllerian inhibitory factor,Müllerian inhibitory factor
MIS,Minimally Invasive Surgery,[[Invasiveness of surgical procedures#Minimally invasive procedure|Minimally Invasive Surgery]] 
MIS,Mullerian Inhibiting Substance, Mullerian Inhibiting Substance
MLC,mixed lymphocyte culture,mixed lymphocyte culture
MLE,midline episiotomy,midline [[episiotomy]]
MM,myeloid metaplasia,[[myeloid metaplasia]] 
MM,middle meningeal, middle meningeal 
MM,multiple myeloma, multiple myeloma
M&M,morbidity and mortality,morbidity and mortality
MMFR,midmaximal flow rate,midmaximal flow rate
MMI,maximum medical improvement,[[maximum medical improvement]]
MMK,Marshall–Marchetti–Kranz procedure,Marshall–Marchetti–Kranz procedure
MMPI,Minnesota Multiphasic Personality Inventory,[[Minnesota Multiphasic Personality Inventory]]
MMR,"measles, mumps, and rubella combined vaccination","measles, mumps, and rubella combined vaccination "
MMR,mismatch repair, mismatch repair
MMR-D,mismatch repair deficiency syndrome,mismatch repair deficiency syndrome
MMSE,mini-mental state examination,[[mini-mental state examination]]
MMT,malignant mesenchymal tumor,malignant mesenchymal tumor 
MMT,Mixed Mullerian Tumor, Mixed Mullerian Tumor
MN,membranous nephropathy,[[membranous nephropathy]]
MND,"motor neurone disease, also known as 'amyotrophic lateral sclerosis', 'Lou Gehrig's disease' or 'Charcot disease'","[[motor neurone disease]], also known as '''amyotrophic lateral sclerosis''' ('''ALS'''), '''Lou Gehrig's disease''' or '''Charcot disease'''"
MOB,mother of baby,mother of baby
mod,moderate;,[[moderate]]; 
mod,modified, [[wikt:modified|modified]]
MODY,maturity onset diabetes of the young,[[maturity onset diabetes of the young]]
Mo,monocytes,[[monocyte]]s
MoM,multiples of the median,multiples of the median
MOM,milk of magnesia,[[milk of magnesia]]
Mono-Di,monochorionic-diamniotic twins,monochorionic-diamniotic twins
Mono-Mono,monochorionic-monoamniotic twins,monochorionic-monoamniotic twins
MOPP,"mechlorethamine, vincristine, procarbazine, and prednisone in combination","[[mechlorethamine]], [[vincristine]], [[procarbazine]], and [[prednisone]] in combination (older treatment for [[Hodgkin's lymphoma]])"
MPA,medroxyprogesterone acetate,medroxyprogesterone acetate
MPD,Main pancreatic duct,Main pancreatic duct
MPD(s),myeloproliferative disease,[[myeloproliferative disease]](s)
MPGN,membranoproliferative glomerulonephritis,[[membranoproliferative glomerulonephritis]]
MPO,myeloperoxidase,myeloperoxidase
MPT,multi-professional team,multi-professional team
MPV,mean platelet volume,[[mean platelet volume]]
MR,medical representative,medical representative 
MR,mental retardation, [[mental retardation]] 
MR,mitral regurgitation, [[mitral regurgitation]] 
MR,modified release), modified release (compare [[time release technology (medicine)]])
MRA,magnetic resonance angiography,[[magnetic resonance angiography]]
MRCP,magnetic resonance cholangiopancreatography,[[magnetic resonance cholangiopancreatography]]
MRG,"murmurs, rubs, and gallops","murmurs, rubs, and gallops (see [[heart sounds]])"
MRI,magnetic resonance imaging,[[magnetic resonance imaging]]
MRSA,methicillin-resistant Staphylococcus aureus,[[methicillin-resistant Staphylococcus aureus|methicillin-resistant ''Staphylococcus aureus'']]
MS,medical student,"[[medical student]] (MS-1, MS-2, MS-3, MS-4) "
MS,mental status, mental status (see [[mental status examination]]) 
MS,mitral stenosis, [[mitral stenosis]] 
MS,multiple sclerosis, [[multiple sclerosis]]
MS-AFP,maternal serum alpha-fetoprotein,maternal serum alpha-fetoprotein
MSDU,medical surgical day unit,medical surgical day unit
MSE,mental status examination,[[mental status examination]]
MSH,melanocyte-stimulating hormone,[[melanocyte-stimulating hormone]]
MSK,medullary sponge kidney,[[medullary sponge kidney]] 
MSK,UK: Musculoskeletal, UK: Musculoskeletal
MSM,men who have sex with men,men who have sex with men
MSU,midstream urine sample,midstream [[urine]] sample (used in testing for presence of urinary tract infections) 
MSU,monosodium urate, monosodium urate
MSUD,maple syrup urine disease,[[maple syrup urine disease]]
MT,metatarsal bone,[[metacarpus|metatarsal]] bone
MTBI,mild traumatic brain injury,mild [[traumatic brain injury]]
MTP,metatarsalphalangeal,[[Metatarsophalangeal articulations|metatarsalphalangeal]]
MTX,methotrexate,[[methotrexate]]
MUSE,medicated urethral system for erections,[[Prostaglandin E1#Sexual dysfunction|medicated urethral system for erections]]
MVA,motor vehicle accident,[[Car accident|motor vehicle accident]]
MVC,motor vehicle crash,[[Car accident|motor vehicle crash]]
MVI,Multivitamin,[[Multivitamin]]
MVo2,mixed venous oxygen concentration,mixed venous oxygen concentration
MVP,mitral valve prolapse,[[mitral valve prolapse]]
MVPS,mitral valve prolapse syndrome,[[mitral valve prolapse syndrome]]
MVR,mitral valve replacement,[[mitral valve replacement]]
Nφ,Neutrophil,[[Neutrophil]]
Na,sodium,[[sodium]] (from Latin ''natrium'')
NA,negative appendectomy,negative appendectomy
NAAT,nuclear acid amplification test,nuclear acid amplification test
NABS,normoactive bowel sounds,normoactive bowel sounds
NAC,n-acetyl cysteine,n-acetyl cysteine
NAD,no abnormality detected,no abnormality detected 
NAD,no apparent distress, no apparent distress 
NAD,(and many variations of the above), (and many variations of the above)
NAFLD,Non-alcoholic fatty liver disease,[[Non-alcoholic fatty liver disease]]
NAS,no added salt,no added [[salt]]
NASH,Non-alcoholic steatohepatitis,Non-alcoholic [[steatohepatitis]]
NB,newborn,newborn ([[infant]]) 
NB,note well (please pay attention) (from Latin ''nota bene''), note well (please pay attention) (from Latin ''nota bene'')
NBN,newborn nursery,newborn nursery
NBIA,neurodegeneration with brain iron accumulation,neurodegeneration with brain iron accumulation
NBT,nitroblue tetrazolium,nitroblue tetrazolium
NBTE,nonbacterial thrombotic endocarditis,[[nonbacterial thrombotic endocarditis]]
NC,nerve action potential,nerve [[action potential]] 
NC,nasal cannula, [[nasal cannula]]
NCC,noncompaction cardiomyopathy,[[noncompaction cardiomyopathy]]
